Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1.2e-05,19.223119,[19 14] ; [ 3 33],[10.52173913 22.47826087] ; [11.47826087 24.52173913],1
v2,1,0.620628,0.244986,[ 9 23] ; [ 8 27],[ 8.11940299 23.88059701] ; [ 8.88059701 26.11940299],0
s7,1,0.71744,0.130959,[ 6 23] ; [ 6 29],[ 5.4375 23.5625] ; [ 6.5625 28.4375],0
v1,1,0.73288,0.116484,[11 23] ; [10 25],[10.34782609 23.65217391] ; [10.65217391 24.34782609],0
v4,1,0.751201,0.100524,[18 15] ; [21 15],[18.65217391 14.34782609] ; [20.34782609 15.65217391],0
p9,1,0.813417,0.055706,[11 21] ; [13 22],[11.46268657 20.53731343] ; [12.53731343 22.46268657],0
r3,1,0.828808,0.046756,[12 21] ; [14 22],[12.43478261 20.56521739] ; [13.56521739 22.43478261],0
n3,1,0.846791,0.037332,[ 7 10] ; [ 8 13],[ 6.71052632 10.28947368] ; [ 8.28947368 12.71052632],0
n6,1,0.86235,0.030062,[14 18] ; [15 21],[13.64705882 18.35294118] ; [15.35294118 20.64705882],0
n5,1,0.865721,0.028594,[19 14] ; [20 16],[18.65217391 14.34782609] ; [20.34782609 15.65217391],0
s1,1,0.895843,0.017139,[ 4 29] ; [ 4 32],[ 3.82608696 29.17391304] ; [ 4.17391304 31.82608696],0
s6,1,0.896429,0.016945,[ 8 26] ; [ 8 28],[ 7.77142857 26.22857143] ; [ 8.22857143 27.77142857],0
s8,1,0.941629,0.005362,[ 3 31] ; [ 3 33],[ 2.91428571 31.08571429] ; [ 3.08571429 32.91428571],0
p1,1,0.941629,0.005362,[ 3 31] ; [ 3 33],[ 2.91428571 31.08571429] ; [ 3.08571429 32.91428571],0
