Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.167559,[91 18] ; [14 19],[80.59859155 28.40140845] ; [24.40140845  8.59859155],1
p1,1,0.172766,1.858778,[  8 101] ; [ 5 28],[ 9.97887324 99.02112676] ; [ 3.02112676 29.97887324],0
a2,1,0.210582,1.567419,[24 85] ; [ 4 29],[21.49295775 87.50704225] ; [ 6.50704225 26.49295775],0
v3,1,0.215405,1.534722,[52 52] ; [12 20],[48.94117647 55.05882353] ; [15.05882353 16.94117647],0
s8,1,0.239489,1.383597,[31 78] ; [ 6 27],[28.40140845 80.59859155] ; [ 8.59859155 24.40140845],0
b3,1,0.274634,1.193456,[36 36] ; [ 6 11],[33.97752809 38.02247191] ; [8.02247191 8.97752809],0
b2,1,0.274634,1.193456,[36 36] ; [ 6 11],[33.97752809 38.02247191] ; [8.02247191 8.97752809],0
b4,1,0.306282,1.046641,[55 54] ; [20 13],[57.57042254 51.42957746] ; [17.42957746 15.57042254],0
s7,1,0.319284,0.991878,[27 76] ; [ 5 24],[24.96969697 78.03030303] ; [ 7.03030303 21.96969697],0
d3,1,0.322089,0.980446,[73 36] ; [19 14],[70.61971831 38.38028169] ; [21.38028169 11.61971831],0
u1,1,0.346588,0.88591,[17 92] ; [ 3 30],[15.35211268 93.64788732] ; [ 4.64788732 28.35211268],0
a8,1,0.38327,0.760187,[12 85] ; [ 2 28],[10.69291339 86.30708661] ; [ 3.30708661 26.69291339],0
s4,1,0.386903,0.748652,[  8 101] ; [ 4 29],[ 9.21126761 99.78873239] ; [ 2.78873239 30.21126761],0
p5,1,0.492077,0.471982,[11 96] ; [ 2 30],[10.00719424 96.99280576] ; [ 2.99280576 29.00719424],0
a1,1,0.549724,0.357812,[  4 105] ; [ 2 31],[  4.6056338 104.3943662] ; [ 1.3943662 31.6056338],0
s5,1,0.564879,0.331326,[18 89] ; [ 7 26],[19.10714286 87.89285714] ; [ 5.89285714 27.10714286],0
a4,1,0.594015,0.284117,[52 57] ; [14 19],[50.66197183 58.33802817] ; [15.33802817 17.66197183],0
b5,1,0.60335,0.269973,[65 44] ; [18 15],[63.71126761 45.28873239] ; [19.28873239 13.71126761],0
d5,1,0.609,0.261634,[84 25] ; [24  9],[82.90140845 26.09859155] ; [25.09859155  7.90140845],0
a3,1,0.619916,0.245986,[80 28] ; [23 10],[78.89361702 29.10638298] ; [24.10638298  8.89361702],0
p12,1,0.630114,0.231906,[  6 103] ; [ 1 29],[  5.48920863 103.51079137] ; [ 1.51079137 28.48920863],0
n2,1,0.632585,0.228571,[11  3] ; [7 3],[10.5  3.5] ; [7.5 2.5],0
s2,1,0.657626,0.19642,[23 85] ; [ 8 24],[23.91428571 84.08571429] ; [ 7.08571429 24.91428571],0
u2,1,0.777231,0.080049,[13 16] ; [5 5],[13.38461538 15.61538462] ; [4.61538462 5.38461538],0
u3,1,0.790643,0.070478,[16 13] ; [6 4],[16.35897436 12.64102564] ; [5.64102564 4.35897436],0
n1,1,0.888683,0.019592,[6 8] ; [4 6],[5.83333333 8.16666667] ; [4.16666667 5.83333333],0
s3,1,0.969303,0.001481,[30 78] ; [ 9 23],[30.08571429 77.91428571] ; [ 8.91428571 23.08571429],0
n3,1,1.0,0.0,[12  3] ; [8 2],[12.  3.] ; [8. 2.],0
