Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,98.478017,[103 124] ; [498 122],[161.07083825  65.92916175] ; [439.92916175 180.07083825],1
s6,1,0.00622,7.485575,[134  89] ; [425 181],[150.37032569  72.62967431] ; [408.62967431 197.37032569],0
p2,1,0.016962,5.700345,[176  51] ; [520  95],[187.63895487  39.36104513] ; [508.36104513 106.63895487],0
v4,1,0.017313,5.664385,[214  13] ; [604  15],[219.48699764   7.51300236] ; [598.51300236  20.48699764],0
v3,1,0.038715,4.273321,[ 75 144] ; [251 343],[ 87.81549815 131.18450185] ; [238.18450185 355.81549815],0
p12,1,0.039058,4.258343,[ 10 216] ; [ 53 559],[ 16.99045346 209.00954654] ; [ 46.00954654 565.99045346],0
s2,1,0.048627,3.888166,[105 122] ; [331 283],[117.68370987 109.31629013] ; [318.31629013 295.68370987],0
n6,1,0.057022,3.621943,[182  45] ; [528  89],[190.95971564  36.04028436] ; [519.04028436  97.95971564],0
a1,1,0.059776,3.543576,[  5 224] ; [ 32 589],[  9.96823529 219.03176471] ; [ 27.03176471 593.96823529],0
u4,1,0.083959,2.986543,[  2 227] ; [ 18 603],[  5.38823529 223.61176471] ; [ 14.61176471 606.38823529],0
a7,1,0.128588,2.309467,[157  70] ; [462 159],[165.69929245  61.30070755] ; [453.30070755 167.69929245],0
p11,1,0.147649,2.096374,[172  57] ; [495 126],[179.69764706  49.30235294] ; [487.30235294 133.69764706],0
p6,1,0.155295,2.019455,[ 73 150] ; [232 377],[ 81.74879808 141.25120192] ; [223.25120192 385.74879808],0
s1,1,0.177413,1.819163,[ 10 215] ; [ 16 595],[  6.99760766 218.00239234] ; [ 19.00239234 591.99760766],0
p7,1,0.216357,1.52837,[132  88] ; [392 214],[139.56416465  80.43583535] ; [384.43583535 221.56416465],0
b1,1,0.236566,1.400944,[ 78 151] ; [239 382],[ 85.40352941 143.59647059] ; [231.59647059 389.40352941],0
a8,1,0.324604,0.970304,[ 25 190] ; [ 80 478],[ 29.20439845 185.79560155] ; [ 75.79560155 482.20439845],0
b5,1,0.43019,0.622311,[144  85] ; [372 249],[139.01647059  89.98352941] ; [376.98352941 244.01647059],0
u3,1,0.451572,0.566704,[72 53] ; [76 46],[74.89878543 50.10121457] ; [73.10121457 48.89878543],0
p5,1,0.472288,0.516617,[ 21 204] ; [ 68 547],[ 23.83928571 201.16071429] ; [ 65.16071429 549.83928571],0
n1,1,0.569346,0.323777,[21 31] ; [47 84],[19.32240437 32.67759563] ; [48.67759563 82.32240437],0
s4,1,0.574762,0.314779,[ 41 185] ; [101 511],[ 38.29594272 187.70405728] ; [103.70405728 508.29594272],0
n3,1,0.592667,0.286199,[37 15] ; [99 33],[38.43478261 13.56521739] ; [97.56521739 34.43478261],0
u2,1,0.657857,0.196138,[70 53] ; [66 56],[68.27755102 54.72244898] ; [67.72244898 54.27755102],0
n2,1,0.6738,0.177189,[37 14] ; [102  33],[38.11290323 12.88709677] ; [100.88709677  34.11290323],0
b4,1,0.74152,0.108795,[136  93] ; [361 260],[133.89764706  95.10235294] ; [363.10235294 257.89764706],0
s3,1,0.931168,0.007461,[130  96] ; [350 262],[129.45107399  96.54892601] ; [350.54892601 261.45107399],0
p1,1,0.966187,0.001797,[ 19 208] ; [ 51 565],[ 18.84934757 208.15065243] ; [ 51.15065243 564.84934757],0
