Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.4e-05,17.185112,[12 33] ; [22  7],[20.67567568 24.32432432] ; [13.32432432 15.67567568],1
v2,1,0.361956,0.831095,[12 31] ; [10 16],[13.71014493 29.28985507] ; [ 8.28985507 17.71014493],0
s8,1,0.372909,0.793949,[12 34] ; [ 5 24],[10.42666667 35.57333333] ; [ 6.57333333 22.42666667],0
s4,1,0.462838,0.539022,[13 33] ; [ 6 23],[11.65333333 34.34666667] ; [ 7.34666667 21.65333333],0
b3,1,0.470358,0.521135,[ 5 18] ; [ 6 13],[ 6.02380952 16.97619048] ; [ 4.97619048 14.02380952],0
b2,1,0.470358,0.521135,[ 5 18] ; [ 6 13],[ 6.02380952 16.97619048] ; [ 4.97619048 14.02380952],0
s2,1,0.476877,0.505997,[18 28] ; [ 9 20],[16.56 29.44] ; [10.44 18.56],0
s7,1,0.484654,0.488372,[11 32] ; [ 9 18],[12.28571429 30.71428571] ; [ 7.71428571 19.28571429],0
u2,1,0.48573,0.48597,[20  9] ; [10  7],[18.91304348 10.08695652] ; [11.08695652  5.91304348],0
p7,1,0.494348,0.467048,[19 23] ; [15 13],[20.4 21.6] ; [13.6 14.4],0
v3,1,0.499348,0.456321,[ 5 38] ; [ 5 24],[ 5.97222222 37.02777778] ; [ 4.02777778 24.97222222],0
r1,1,0.51029,0.433472,[25 21] ; [18 11],[26.37333333 19.62666667] ; [16.62666667 12.37333333],0
r3,1,0.533182,0.388324,[34 11] ; [20  9],[32.83783784 12.16216216] ; [21.16216216  7.83783784],0
n1,1,0.547403,0.361991,[ 6 11] ; [6 7],[ 6.8 10.2] ; [5.2 7.8],0
r4,1,0.553638,0.350839,[27 19] ; [15 14],[25.76 20.24] ; [16.24 12.76],0
a3,1,0.565166,0.330838,[16 30] ; [12 17],[17.17333333 28.82666667] ; [10.82666667 18.17333333],0
p10,1,0.571363,0.320407,[25 19] ; [14 14],[23.83333333 20.16666667] ; [15.16666667 12.83333333],0
p9,1,0.581639,0.303593,[28 16] ; [16 12],[26.88888889 17.11111111] ; [17.11111111 10.88888889],0
r2,1,0.581781,0.303364,[37  9] ; [21  7],[36.05405405  9.94594595] ; [21.94594595  6.05405405],0
s3,1,0.631662,0.229814,[24 22] ; [13 15],[23. 23.] ; [14. 14.],0
a1,1,0.63238,0.228847,[ 2 44] ; [ 2 27],[ 2.45333333 43.54666667] ; [ 1.54666667 27.45333333],0
p3,1,0.637814,0.221612,[ 9 37] ; [ 7 22],[ 9.81333333 36.18666667] ; [ 6.18666667 22.81333333],0
d3,1,0.670892,0.180561,[24 21] ; [14 15],[23.10810811 21.89189189] ; [14.89189189 14.10810811],0
s6,1,0.681146,0.168839,[18 27] ; [13 16],[18.85135135 26.14864865] ; [12.14864865 16.85135135],0
b4,1,0.71658,0.131793,[25 21] ; [17 12],[25.76 20.24] ; [16.24 12.76],0
a4,1,0.726161,0.122666,[ 6 40] ; [ 3 26],[ 5.52 40.48] ; [ 3.48 25.52],0
p5,1,0.738682,0.111289,[ 1 45] ; [ 1 28],[ 1.22666667 44.77333333] ; [ 0.77333333 28.22666667],0
v1,1,0.768859,0.086359,[18 28] ; [10 18],[17.40540541 28.59459459] ; [10.59459459 17.40540541],0
p1,1,0.779722,0.078222,[ 4 42] ; [ 2 27],[ 3.68 42.32] ; [ 2.32 26.68],0
d1,1,0.791881,0.069626,[14 32] ; [ 8 21],[13.49333333 32.50666667] ; [ 8.50666667 20.49333333],0
u1,1,0.846488,0.037481,[ 2 44] ; [ 1 28],[ 1.84 44.16] ; [ 1.16 27.84],0
b1,1,0.884362,0.021153,[23 23] ; [15 14],[23.30666667 22.69333333] ; [14.69333333 14.30666667],0
d5,1,0.908729,0.013143,[26 20] ; [16 13],[25.76 20.24] ; [16.24 12.76],0
p6,1,0.929365,0.007858,[13 31] ; [ 8 20],[12.83333333 31.16666667] ; [ 8.16666667 19.83333333],0
