Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,51.873116,[116   6] ; [11 16],[103.98657718  18.01342282] ; [23.01342282  3.98657718],1
p12,1,0.542844,0.370294,[  8 113] ; [ 1 27],[  7.30872483 113.69127517] ; [ 1.69127517 26.30872483],0
n3,1,0.561423,0.337247,[26 10] ; [12  3],[26.82352941  9.17647059] ; [11.17647059  3.82352941],0
p6,1,0.574591,0.315061,[42 78] ; [11 16],[43.26530612 76.73469388] ; [ 9.73469388 17.26530612],0
u3,1,0.577037,0.31105,[21 25] ; [4 7],[20.1754386 25.8245614] ; [4.8245614 6.1754386],0
v3,1,0.582553,0.302125,[36 83] ; [ 7 21],[34.80952381 84.19047619] ; [ 8.19047619 19.80952381],0
d1,1,0.631755,0.229688,[54 68] ; [11 17],[52.86666667 69.13333333] ; [12.13333333 15.86666667],0
v2,1,0.641797,0.2164,[51 67] ; [13 14],[52.08275862 65.91724138] ; [11.91724138 15.08275862],0
a4,1,0.666287,0.185976,[40 82] ; [ 8 20],[39.04 82.96] ; [ 8.96 19.04],0
b4,1,0.687951,0.161312,[79 43] ; [17 11],[78.08 43.92] ; [17.92 10.08],0
n2,1,0.73315,0.116239,[28  8] ; [11  4],[27.52941176  8.47058824] ; [11.47058824  3.52941176],0
s4,1,0.755573,0.096907,[23 99] ; [ 6 22],[23.58666667 98.41333333] ; [ 5.41333333 22.58666667],0
u1,1,0.760619,0.092823,[  6 116] ; [ 1 27],[  5.69333333 116.30666667] ; [ 1.30666667 26.69333333],0
b5,1,0.782319,0.076341,[75 47] ; [18 10],[75.64 46.36] ; [17.36 10.64],0
a3,1,0.876492,0.024155,[76 46] ; [17 11],[75.64 46.36] ; [17.36 10.64],0
d3,1,0.897289,0.016664,[67 55] ; [15 13],[66.69333333 55.30666667] ; [15.30666667 12.69333333],0
a1,1,0.910816,0.012546,[  8 114] ; [ 2 26],[  8.13333333 113.86666667] ; [ 1.86666667 26.13333333],0
s1,1,0.911643,0.012314,[  4 118] ; [ 1 26],[  4.09395973 117.90604027] ; [ 0.90604027 26.09395973],0
u2,1,0.990568,0.00014,[25 21] ; [6 5],[25.01754386 20.98245614] ; [5.98245614 5.01754386],0
