Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.861619,[21 16] ; [105 377],[ 8.98265896 28.01734104] ; [117.01734104 364.98265896],1
n2,1,0.562465,0.335454,[7 4] ; [92 36],[7.83453237 3.16546763] ; [91.16546763 36.83453237],0
a3,1,0.579714,0.306697,[27 11] ; [326 163],[25.45351044 12.54648956] ; [327.54648956 161.45351044],0
s2,1,0.581168,0.30435,[13 25] ; [189 299],[14.59315589 23.40684411] ; [187.40684411 300.59315589],0
r1,1,0.64594,0.211057,[28 10] ; [374 112],[29.15267176  8.84732824] ; [372.84732824 113.15267176],0
v4,1,0.719681,0.128798,[35  3] ; [439  47],[34.3740458  3.6259542] ; [439.6259542  46.3740458],0
d3,1,0.725088,0.12367,[25 13] ; [309 182],[23.99243856 14.00756144] ; [310.00756144 180.99243856],0
d5,1,0.760152,0.093196,[30  8] ; [377 114],[29.2362949  8.7637051] ; [377.7637051 113.2362949],0
r4,1,0.767494,0.087412,[32  6] ; [405  87],[31.33207547  6.66792453] ; [405.66792453  86.33207547],0
b4,1,0.772852,0.083317,[23 15] ; [286 206],[22.15471698 15.84528302] ; [286.84528302 205.15471698],0
v2,1,0.775621,0.081242,[18 18] ; [245 222],[18.82306163 17.17693837] ; [244.17693837 222.82306163],0
u3,1,0.800451,0.06389,[6 5] ; [83 81],[5.59428571 5.40571429] ; [83.40571429 80.59428571],0
a4,1,0.805745,0.060476,[15 23] ; [203 286],[15.71916509 22.28083491] ; [202.28083491 286.71916509],0
u1,1,0.855357,0.033229,[ 5 33] ; [ 70 422],[ 5.37735849 32.62264151] ; [ 69.62264151 422.37735849],0
u2,1,0.910406,0.012662,[6 5] ; [85 76],[5.81976744 5.18023256] ; [85.18023256 75.81976744],0
a8,1,0.923085,0.009322,[ 5 31] ; [ 65 384],[ 5.19587629 30.80412371] ; [ 64.80412371 384.19587629],0
