Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.3e-05,16.71358,[ 7 57] ; [29 39],[17.45454545 46.54545455] ; [18.54545455 49.45454545],1
n2,1,0.607936,0.263191,[15  7] ; [18  6],[15.7826087  6.2173913] ; [17.2173913  6.7826087],0
a1,1,0.61432,0.253932,[ 3 66] ; [ 2 70],[ 2.44680851 66.55319149] ; [ 2.55319149 69.44680851],0
p7,1,0.623557,0.2409,[34 32] ; [39 31],[35.42647059 30.57352941] ; [37.57352941 32.42647059],0
b4,1,0.655329,0.199247,[39 30] ; [38 34],[37.68085106 31.31914894] ; [39.31914894 32.68085106],0
b1,1,0.672314,0.178907,[36 33] ; [35 37],[34.74468085 34.25531915] ; [36.25531915 35.74468085],0
s2,1,0.696152,0.152505,[28 40] ; [32 40],[29.14285714 38.85714286] ; [30.85714286 41.14285714],0
s8,1,0.712056,0.136232,[21 48] ; [24 48],[22.0212766 46.9787234] ; [22.9787234 49.0212766],0
n1,1,0.750455,0.101149,[ 7 15] ; [ 8 14],[ 7.5 14.5] ; [ 7.5 14.5],0
u3,1,0.773848,0.082567,[22 10] ; [11  6],[21.55102041 10.44897959] ; [11.44897959  5.55102041],0
d2,1,0.813422,0.055703,[27 41] ; [30 42],[27.68571429 40.31428571] ; [29.31428571 42.68571429],0
p6,1,0.844099,0.038672,[18 49] ; [17 50],[17.5 49.5] ; [17.5 49.5],0
v4,1,0.853298,0.034192,[61  7] ; [63  8],[60.6618705  7.3381295] ; [63.3381295  7.6618705],0
u1,1,0.938565,0.00594,[ 6 63] ; [ 6 66],[ 5.87234043 63.12765957] ; [ 6.12765957 65.87234043],0
r2,1,0.975595,0.000936,[61  8] ; [62  8],[61.05755396  7.94244604] ; [61.94244604  8.05755396],0
p11,1,0.988096,0.000223,[44 25] ; [46 26],[44.04255319 24.95744681] ; [45.95744681 26.04255319],0
