Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,28.396268,[10 21] ; [83 18],[21.84090909  9.15909091] ; [71.15909091 29.84090909],1
s5,1,0.357104,0.848052,[ 5 25] ; [24 73],[ 6.8503937 23.1496063] ; [22.1496063 74.8503937],0
d4,1,0.372156,0.796453,[27  4] ; [80 20],[25.32061069  5.67938931] ; [81.67938931 18.32061069],0
b3,1,0.399805,0.708912,[ 4 11] ; [23 37],[5.4 9.6] ; [21.6 38.4],0
b2,1,0.399805,0.708912,[ 4 11] ; [23 37],[5.4 9.6] ; [21.6 38.4],0
s3,1,0.415565,0.662823,[14 17] ; [53 46],[15.97692308 15.02307692] ; [51.02307692 47.97692308],0
u2,1,0.426763,0.631616,[7 3] ; [15 12],[5.94594595 4.05405405] ; [16.05405405 10.94594595],0
p9,1,0.444743,0.584014,[25  5] ; [76 23],[23.48837209  6.51162791] ; [77.51162791 21.48837209],0
p10,1,0.451831,0.566055,[25  6] ; [74 26],[23.42748092  7.57251908] ; [75.57251908 24.42748092],0
a6,1,0.483791,0.490306,[18 13] ; [65 35],[19.64122137 11.35877863] ; [63.35877863 36.64122137],0
p8,1,0.536777,0.381545,[ 9 22] ; [34 63],[10.4140625 20.5859375] ; [32.5859375 64.4140625],0
r4,1,0.548744,0.359573,[25  6] ; [86 15],[26.06818182  4.93181818] ; [84.93181818 16.06818182],0
v2,1,0.551314,0.354968,[24  7] ; [72 28],[22.71755725  8.28244275] ; [73.28244275 26.71755725],0
d5,1,0.553364,0.351325,[22  9] ; [77 24],[23.25  7.75] ; [75.75 25.25],0
p12,1,0.568355,0.325443,[ 2 29] ; [ 4 96],[ 1.41984733 29.58015267] ; [ 4.58015267 95.41984733],0
a3,1,0.56992,0.322816,[21 10] ; [73 27],[22.24427481  8.75572519] ; [71.75572519 28.24427481],0
r3,1,0.623779,0.240592,[28  3] ; [93  7],[28.63358779  2.36641221] ; [92.36641221  7.63358779],0
v1,1,0.658481,0.195374,[18 13] ; [53 46],[16.93076923 14.06923077] ; [54.06923077 44.93076923],0
u3,1,0.725622,0.123169,[6 4] ; [15 13],[5.52631579 4.47368421] ; [15.47368421 12.52631579],0
n2,1,0.729507,0.119565,[10  5] ; [13  5],[10.45454545  4.54545455] ; [12.54545455  5.45454545],0
r1,1,0.816305,0.053964,[23  8] ; [77 24],[23.48484848  7.51515152] ; [76.51515152 24.48484848],0
b5,1,0.834232,0.043797,[19 12] ; [64 37],[19.49242424 11.50757576] ; [63.50757576 37.49242424],0
s6,1,0.843449,0.039,[18 12] ; [62 38],[18.46153846 11.53846154] ; [61.53846154 38.46153846],0
p5,1,0.844172,0.038636,[ 1 30] ; [ 4 96],[ 1.18320611 29.81679389] ; [ 3.81679389 96.18320611],0
s1,1,0.89524,0.017339,[ 2 29] ; [ 7 91],[ 2.1627907 28.8372093] ; [ 6.8372093 91.1627907],0
v4,1,0.926246,0.008569,[29  2] ; [94  7],[28.88636364  2.11363636] ; [94.11363636  6.88636364],0
r2,1,0.942129,0.00527,[30  1] ; [98  3],[30.06060606  0.93939394] ; [97.93939394  3.06060606],0
p7,1,0.959912,0.002526,[15 15] ; [47 48],[14.88 15.12] ; [47.12 47.88],0
p2,1,0.978541,0.000724,[21 10] ; [68 32],[21.0610687  9.9389313] ; [67.9389313 32.0610687],0
