Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.0849,[ 4 11] ; [95 22],[11.25  3.75] ; [87.75 29.25],1
a6,1,0.239752,1.382051,[9 6] ; [87 30],[10.90909091  4.09090909] ; [85.09090909 31.90909091],0
a7,1,0.239752,1.382051,[9 6] ; [87 30],[10.90909091  4.09090909] ; [85.09090909 31.90909091],0
b5,1,0.240565,1.377278,[7 8] ; [73 44],[9.09090909 5.90909091] ; [70.90909091 46.09090909],0
n5,1,0.247477,1.337489,[ 4 11] ; [49 67],[6.06870229 8.93129771] ; [46.93129771 69.06870229],0
d2,1,0.261012,1.263382,[ 5 10] ; [57 60],[7.04545455 7.95454545] ; [54.95454545 62.04545455],0
s8,1,0.296577,1.089524,[ 3 12] ; [39 78],[ 4.77272727 10.22727273] ; [37.22727273 79.77272727],0
s3,1,0.39097,0.735924,[5 9] ; [55 60],[6.51162791 7.48837209] ; [53.48837209 61.51162791],0
s6,1,0.392773,0.73034,[6 9] ; [60 56],[7.55725191 7.44274809] ; [58.44274809 57.55725191],0
p12,1,0.406256,0.68973,[ 1 14] ; [  3 109],[ 0.47244094 14.52755906] ; [  3.52755906 108.47244094],0
n3,1,0.477812,0.503854,[3 3] ; [26 14],[3.7826087 2.2173913] ; [25.2173913 14.7826087],0
a2,1,0.510389,0.43327,[ 2 13] ; [24 93],[ 2.95454545 12.04545455] ; [23.04545455 93.95454545],0
v3,1,0.573364,0.317086,[ 5 10] ; [28 78],[ 4.09090909 10.90909091] ; [28.90909091 77.09090909],0
b3,1,0.590547,0.289491,[2 8] ; [18 46],[2.7027027 7.2972973] ; [17.2972973 46.7027027],0
b2,1,0.590547,0.289491,[2 8] ; [18 46],[2.7027027 7.2972973] ; [17.2972973 46.7027027],0
a4,1,0.609876,0.260355,[ 5 10] ; [47 70],[5.90909091 9.09090909] ; [46.09090909 70.90909091],0
b4,1,0.629994,0.23207,[8 7] ; [70 47],[8.86363636 6.13636364] ; [69.13636364 47.86363636],0
p4,1,0.65606,0.198346,[6 9] ; [53 62],[6.80769231 8.19230769] ; [52.19230769 62.80769231],0
v1,1,0.681154,0.16883,[6 9] ; [52 62],[6.74418605 8.25581395] ; [51.25581395 62.74418605],0
p6,1,0.684665,0.164922,[ 4 10] ; [26 84],[ 3.38709677 10.61290323] ; [26.61290323 83.38709677],0
s4,1,0.712913,0.135385,[ 3 12] ; [19 98],[ 2.5 12.5] ; [19.5 97.5],0
p7,1,0.73338,0.116031,[8 7] ; [54 57],[7.38095238 7.61904762] ; [54.61904762 56.38095238],0
d4,1,0.772046,0.083926,[13  2] ; [98 19],[12.61363636  2.38636364] ; [98.38636364 18.61363636],0
v2,1,0.793834,0.068296,[7 7] ; [58 50],[7.45901639 6.54098361] ; [57.54098361 50.45901639],0
a1,1,0.802334,0.062664,[ 1 14] ; [  6 111],[ 0.79545455 14.20454545] ; [  6.20454545 110.79545455],0
n1,1,0.809401,0.058177,[2 4] ; [15 24],[2.26666667 3.73333333] ; [14.73333333 24.26666667],0
s5,1,0.812143,0.056483,[ 3 12] ; [25 85],[ 3.36 11.64] ; [24.64 85.36],0
s7,1,0.855416,0.033201,[4 7] ; [37 73],[3.72727273 7.27272727] ; [37.27272727 72.72727273],0
p1,1,0.880865,0.022462,[ 1 14] ; [  9 107],[ 1.14503817 13.85496183] ; [  8.85496183 107.14503817],0
n4,1,0.881033,0.022398,[8 7] ; [60 57],[7.72727273 7.27272727] ; [60.27272727 56.72727273],0
p8,1,0.957593,0.002827,[6 9] ; [44 68],[5.90551181 9.09448819] ; [44.09448819 67.90551181],0
a8,1,0.971154,0.001308,[ 1 14] ; [  7 102],[ 0.96774194 14.03225806] ; [  7.03225806 101.96774194],0
p3,1,0.996345,2.1e-05,[5 9] ; [41 74],[4.99224806 9.00775194] ; [41.00775194 73.99224806],0
