Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7e-06,20.104534,[41 55] ; [ 26 128],[25.728 70.272] ; [ 41.272 112.728],1
p1,1,0.156982,2.003059,[ 6 91] ; [  4 150],[ 3.86454183 93.13545817] ; [  6.13545817 147.86454183],0
a4,1,0.188313,1.730769,[45 51] ; [60 96],[40. 56.] ; [65. 91.],0
s6,1,0.19473,1.681466,[80 16] ; [117  36],[75.95180723 20.04819277] ; [121.04819277  31.95180723],0
d2,1,0.20275,1.622454,[48 49] ; [64 91],[43.11111111 53.88888889] ; [68.88888889 86.11111111],0
r2,1,0.257081,1.284408,[89  6] ; [148   5],[90.78629032  4.21370968] ; [146.21370968   6.78629032],0
v3,1,0.288705,1.12565,[34 59] ; [ 45 105],[30.2345679 62.7654321] ; [ 48.7654321 101.2345679],0
d1,1,0.299341,1.077128,[55 42] ; [78 78],[50.99209486 46.00790514] ; [82.00790514 73.99209486],0
u4,1,0.314356,1.012287,[ 3 94] ; [  2 154],[ 1.91699605 95.08300395] ; [  3.08300395 152.91699605],0
s5,1,0.321856,0.981389,[37 57] ; [49 99],[33.40495868 60.59504132] ; [52.59504132 95.40495868],0
v4,1,0.323191,0.975991,[92  4] ; [141  11],[90.19354839  5.80645161] ; [142.80645161   9.19354839],0
a3,1,0.324783,0.969588,[69 28] ; [101  54],[65.43650794 31.56349206] ; [104.56349206  50.43650794],0
s1,1,0.343309,0.898036,[ 7 87] ; [  7 146],[ 5.32793522 88.67206478] ; [  8.67206478 144.32793522],0
p12,1,0.369242,0.806215,[ 7 90] ; [  7 147],[ 5.41035857 91.58964143] ; [  8.58964143 145.41035857],0
n4,1,0.421727,0.645499,[71 25] ; [108  48],[68.19047619 27.80952381] ; [110.80952381  45.19047619],0
n2,1,0.480921,0.496774,[18  3] ; [44 12],[16.90909091  4.09090909] ; [45.09090909 10.90909091],0
u3,1,0.489041,0.478636,[13 13] ; [32 23],[14.44444444 11.55555556] ; [30.55555556 24.44444444],0
p10,1,0.493742,0.468361,[75 20] ; [115  38],[72.78225806 22.21774194] ; [117.21774194  35.78225806],0
s4,1,0.583295,0.300938,[19 77] ; [ 35 119],[20.736 75.264] ; [ 33.264 120.736],0
a7,1,0.696646,0.151984,[70 27] ; [109  47],[68.6284585 28.3715415] ; [110.3715415  45.6284585],0
p9,1,0.722026,0.12656,[79 18] ; [121  31],[77.91164659 19.08835341] ; [122.08835341  29.91164659],0
b1,1,0.732118,0.117176,[35 62] ; [ 53 103],[33.73913043 63.26086957] ; [ 54.26086957 101.73913043],0
r1,1,0.733286,0.116116,[78 18] ; [124  32],[76.95238095 19.04761905] ; [125.04761905  30.95238095],0
r3,1,0.739094,0.110925,[91  6] ; [146   8],[91.58964143  5.41035857] ; [145.41035857   8.58964143],0
a6,1,0.747006,0.104064,[60 37] ; [99 56],[61.20238095 35.79761905] ; [97.79761905 57.20238095],0
b5,1,0.79994,0.064224,[60 37] ; [94 62],[59.04347826 37.95652174] ; [94.95652174 61.04347826],0
v2,1,0.811674,0.056771,[49 46] ; [71 71],[48.10126582 46.89873418] ; [71.89873418 70.10126582],0
d4,1,0.819288,0.052194,[78 19] ; [122  32],[77.29083665 19.70916335] ; [122.70916335  31.29083665],0
a8,1,0.893936,0.017776,[15 72] ; [ 26 119],[15.375 71.625] ; [ 25.625 119.375],0
u1,1,0.916728,0.010932,[12 85] ; [ 20 136],[12.2687747 84.7312253] ; [ 19.7312253 136.2687747],0
d5,1,0.940417,0.005587,[73 24] ; [116  39],[72.75 24.25] ; [116.25  38.75],0
p11,1,0.94921,0.004058,[70 27] ; [112  44],[69.77865613 27.22134387] ; [112.22134387  43.77865613],0
b2,1,0.971283,0.001296,[20 41] ; [26 54],[19.90070922 41.09929078] ; [26.09929078 53.90070922],0
b3,1,0.971283,0.001296,[20 41] ; [26 54],[19.90070922 41.09929078] ; [26.09929078 53.90070922],0
n1,1,1.0,0.0,[ 8 12] ; [22 33],[ 8. 12.] ; [22. 33.],0
u2,1,1.0,0.0,[14 13] ; [28 26],[14. 13.] ; [28. 26.],0
