Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,8e-06,20.023414,[21 99] ; [15 10],[29.79310345 90.20689655] ; [ 6.20689655 18.79310345],1
a3,1,0.644336,0.213116,[83 45] ; [15 10],[81.9869281 46.0130719] ; [16.0130719  8.9869281],0
p9,1,0.745435,0.105407,[85 41] ; [17  7],[85.68 40.32] ; [16.32  7.68],0
p8,1,0.76271,0.091158,[51 74] ; [ 9 15],[50.33557047 74.66442953] ; [ 9.66442953 14.33557047],0
v4,1,0.766499,0.088183,[113  13] ; [22  2],[113.4  12.6] ; [21.6  2.4],0
b1,1,0.854848,0.033465,[64 64] ; [13 12],[64.41830065 63.58169935] ; [12.58169935 12.41830065],0
p4,1,0.883617,0.021429,[58 67] ; [12 13],[58.33333333 66.66666667] ; [11.66666667 13.33333333],0
a4,1,0.935644,0.00652,[45 83] ; [ 9 16],[45.17647059 82.82352941] ; [ 8.82352941 16.17647059],0
n3,1,0.951496,0.0037,[28 11] ; [8 3],[28.08 10.92] ; [7.92 3.08],0
d1,1,0.968063,0.001603,[62 66] ; [12 13],[61.90849673 66.09150327] ; [12.09150327 12.90849673],0
a6,1,0.977886,0.000768,[86 41] ; [17  8],[86.05921053 40.94078947] ; [16.94078947  8.05921053],0
b4,1,0.981614,0.000531,[72 56] ; [14 11],[71.94771242 56.05228758] ; [14.05228758 10.94771242],0
d2,1,0.988285,0.000216,[51 76] ; [10 15],[50.96710526 76.03289474] ; [10.03289474 14.96710526],0
p5,1,1.0,0.0,[  5 120] ; [ 1 24],[  5. 120.] ; [ 1. 24.],0
