Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.724572,[39 18] ; [ 50 103],[24.15714286 32.84285714] ; [64.84285714 88.15714286],1
b2,1,0.266852,1.232855,[13 14] ; [30 53],[10.55454545 16.44545455] ; [32.44545455 50.55454545],0
b3,1,0.266852,1.232855,[13 14] ; [30 53],[10.55454545 16.44545455] ; [32.44545455 50.55454545],0
a2,1,0.2698,1.217765,[10 49] ; [ 18 141],[ 7.57798165 51.42201835] ; [ 20.42201835 138.57798165],0
s8,1,0.2698,1.217765,[10 49] ; [ 18 141],[ 7.57798165 51.42201835] ; [ 20.42201835 138.57798165],0
s6,1,0.333282,0.936105,[27 31] ; [62 96],[23.89814815 34.10185185] ; [65.10185185 92.89814815],0
d1,1,0.399311,0.710402,[29 30] ; [68 91],[26.25229358 32.74770642] ; [70.74770642 88.25229358],0
a6,1,0.411218,0.675276,[41 18] ; [101  58],[38.43119266 20.56880734] ; [103.56880734  55.43119266],0
p10,1,0.411869,0.6734,[39 19] ; [96 61],[36.41860465 21.58139535] ; [98.58139535 58.41860465],0
p4,1,0.452313,0.564849,[21 37] ; [ 49 110],[18.70967742 39.29032258] ; [ 51.29032258 107.70967742],0
d3,1,0.465372,0.532943,[37 22] ; [91 68],[34.64220183 24.35779817] ; [93.35779817 65.64220183],0
p3,1,0.501858,0.451006,[12 47] ; [ 39 119],[13.86635945 45.13364055] ; [ 37.13364055 120.86635945],0
n5,1,0.523371,0.407245,[39 20] ; [97 61],[36.97695853 22.02304147] ; [99.02304147 58.97695853],0
d5,1,0.536625,0.381832,[43 16] ; [109  50],[41.13761468 17.86238532] ; [110.86238532  48.13761468],0
b5,1,0.572483,0.318546,[37 22] ; [93 66],[35.18348624 23.81651376] ; [94.81651376 64.18348624],0
d4,1,0.602547,0.271172,[44 14] ; [115  44],[42.49769585 15.50230415] ; [116.50230415  42.49769585],0
a8,1,0.613797,0.254683,[ 6 49] ; [ 13 138],[ 5.07281553 49.92718447] ; [ 13.92718447 137.07281553],0
n1,1,0.618662,0.247752,[ 4 10] ; [21 38],[4.79452055 9.20547945] ; [20.20547945 38.79452055],0
p6,1,0.635943,0.224087,[ 6 52] ; [ 13 144],[ 5.1255814 52.8744186] ; [ 13.8744186 143.1255814],0
s1,1,0.695483,0.153213,[ 2 55] ; [  4 155],[ 1.58333333 55.41666667] ; [  4.41666667 154.58333333],0
n3,1,0.742324,0.108094,[10  5] ; [36 22],[9.45205479 5.54794521] ; [36.54794521 21.45205479],0
p9,1,0.767496,0.08741,[41 17] ; [107  49],[40.11214953 17.88785047] ; [107.88785047  48.11214953],0
u4,1,0.805607,0.060564,[ 1 58] ; [  2 157],[ 0.81192661 58.18807339] ; [  2.18807339 156.81192661],0
p11,1,0.825088,0.048843,[41 18] ; [108  51],[40.32568807 18.67431193] ; [108.67431193  50.32568807],0
n6,1,0.862725,0.029897,[43 16] ; [114  45],[42.49082569 16.50917431] ; [114.50917431  44.49082569],0
u3,1,0.886923,0.020221,[9 9] ; [42 39],[9.27272727 8.72727273] ; [41.72727273 39.27272727],0
s5,1,0.89883,0.016164,[10 46] ; [ 26 126],[ 9.69230769 46.30769231] ; [ 26.30769231 125.69230769],0
p1,1,0.93874,0.005906,[ 5 54] ; [ 14 145],[ 5.14220183 53.85779817] ; [ 13.85779817 145.14220183],0
u1,1,0.93874,0.005906,[ 5 54] ; [ 14 145],[ 5.14220183 53.85779817] ; [ 13.85779817 145.14220183],0
a4,1,0.962635,0.002195,[22 37] ; [58 99],[21.85185185 37.14814815] ; [58.14814815 98.85185185],0
p2,1,0.980373,0.000605,[37 22] ; [100  59],[37.07798165 21.92201835] ; [99.92201835 59.07798165],0
