Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,6e-06,20.478389,[123  30] ; [29 30],[109.69811321  43.30188679] ; [42.30188679 16.69811321],1
n6,1,0.533388,0.387932,[129  23] ; [48 11],[127.507109  24.492891] ; [49.492891  9.507109],0
s1,1,0.538891,0.3776,[  3 150] ; [ 2 57],[  3.60849057 149.39150943] ; [ 1.39150943 57.60849057],0
a8,1,0.575153,0.314136,[ 17 109] ; [ 6 51],[ 15.83606557 110.16393443] ; [ 7.16393443 49.83606557],0
r1,1,0.595665,0.281584,[121  31] ; [45 14],[119.58293839  32.41706161] ; [46.41706161 12.58293839],0
p8,1,0.606385,0.265473,[102  49] ; [37 21],[100.42583732  50.57416268] ; [38.57416268 19.42583732],0
s6,1,0.617843,0.248911,[75 76] ; [30 26],[76.5942029 74.4057971] ; [28.4057971 27.5942029],0
a5,1,0.694375,0.15439,[113  40] ; [42 17],[111.86320755  41.13679245] ; [43.13679245 15.86320755],0
b4,1,0.745428,0.105413,[87 66] ; [35 24],[88.04716981 64.95283019] ; [33.95283019 25.04716981],0
p9,1,0.75273,0.099251,[131  21] ; [49  9],[130.28571429  21.71428571] ; [49.71428571  8.28571429],0
b3,1,0.776008,0.080954,[35 61] ; [16 25],[35.73722628 60.26277372] ; [15.26277372 25.73722628],0
b2,1,0.776008,0.080954,[35 61] ; [16 25],[35.73722628 60.26277372] ; [15.26277372 25.73722628],0
a3,1,0.817398,0.053312,[103  49] ; [39 20],[102.29383886  49.70616114] ; [39.70616114 19.29383886],0
p6,1,0.85368,0.034013,[60 90] ; [22 35],[59.42028986 90.57971014] ; [22.57971014 34.42028986],0
a1,1,0.855515,0.033155,[  6 147] ; [ 2 57],[  5.77358491 147.22641509] ; [ 2.22641509 56.77358491],0
p12,1,0.86351,0.029552,[  9 144] ; [ 3 54],[  8.74285714 144.25714286] ; [ 3.25714286 53.74285714],0
n5,1,0.894607,0.01755,[112  40] ; [44 15],[112.37914692  39.62085308] ; [43.62085308 15.37914692],0
p11,1,0.958742,0.002676,[124  29] ; [48 11],[124.13207547  28.86792453] ; [47.86792453 11.13207547],0
p10,1,0.996876,1.5e-05,[125  26] ; [48 10],[124.99043062  26.00956938] ; [48.00956938  9.99043062],0
