Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.00939,6.747108,[ 9 31] ; [6 3],[12.24489796 27.75510204] ; [2.75510204 6.24489796],0
a5,1,0.454832,0.558582,[54 46] ; [ 8 10],[52.54237288 47.45762712] ; [9.45762712 8.54237288],0
a7,1,0.477565,0.504418,[46 53] ; [10  8],[47.38461538 51.61538462] ; [8.61538462 9.38461538],0
p2,1,0.50472,0.444999,[51 46] ; [11  7],[52.29565217 44.70434783] ; [9.70434783 8.29565217],0
r2,1,0.50559,0.443184,[53 42] ; [8 9],[51.74107143 43.25892857] ; [9.25892857 7.74107143],0
s8,1,0.517159,0.419556,[16 84] ; [ 4 14],[16.94915254 83.05084746] ; [ 3.05084746 14.94915254],0
p11,1,0.555007,0.348424,[48 52] ; [10  8],[49.15254237 50.84745763] ; [8.84745763 9.15254237],0
b5,1,0.576593,0.311774,[54 46] ; [11  7],[55.08474576 44.91525424] ; [9.91525424 8.08474576],0
p9,1,0.592038,0.287173,[54 41] ; [9 9],[52.96460177 42.03539823] ; [10.03539823  7.96460177],0
p4,1,0.606729,0.264966,[32 66] ; [ 7 11],[32.94827586 65.05172414] ; [ 6.05172414 11.94827586],0
r1,1,0.65514,0.199482,[27 72] ; [ 4 14],[26.23076923 72.76923077] ; [ 4.76923077 13.23076923],0
n1,1,0.685213,0.164316,[18 31] ; [3 7],[17.44067797 31.55932203] ; [3.55932203 6.44067797],0
v2,1,0.689711,0.159398,[33 63] ; [ 5 12],[32.28318584 63.71681416] ; [ 5.71681416 11.28318584],0
a4,1,0.702843,0.145531,[32 67] ; [ 5 13],[31.30769231 67.69230769] ; [ 5.69230769 12.30769231],0
p1,1,0.719082,0.129374,[ 8 92] ; [ 1 17],[ 7.62711864 92.37288136] ; [ 1.37288136 16.62711864],0
r3,1,0.749655,0.101821,[53 45] ; [9 9],[52.37931034 45.62068966] ; [9.62068966 8.37931034],0
b1,1,0.754149,0.098078,[54 46] ; [9 9],[53.38983051 46.61016949] ; [9.61016949 8.38983051],0
d4,1,0.766034,0.088546,[63 37] ; [12  6],[63.55932203 36.44067797] ; [11.44067797  6.55932203],0
n3,1,0.776171,0.080833,[27 22] ; [6 4],[27.40677966 21.59322034] ; [5.59322034 4.40677966],0
d5,1,0.784848,0.074533,[59 41] ; [10  8],[58.47457627 41.52542373] ; [10.52542373  7.47457627],0
d2,1,0.805269,0.060779,[36 63] ; [ 6 12],[35.53846154 63.46153846] ; [ 6.46153846 11.53846154],0
d1,1,0.827797,0.047318,[36 64] ; [ 6 12],[35.59322034 64.40677966] ; [ 6.40677966 11.59322034],0
n5,1,0.845999,0.037724,[63 35] ; [12  6],[63.36206897 34.63793103] ; [11.63793103  6.36206897],0
p6,1,0.915084,0.01137,[17 79] ; [ 3 15],[16.84210526 79.15789474] ; [ 3.15789474 14.84210526],0
v4,1,0.942359,0.005228,[59 39] ; [11  7],[59.13793103 38.86206897] ; [10.86206897  7.13793103],0
