Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.353717,[218  65] ; [31 34],[202.49137931  80.50862069] ; [46.50862069 18.49137931],1
b2,1,0.245117,1.350923,[ 70 105] ; [10 24],[ 66.98564593 108.01435407] ; [13.01435407 20.98564593],0
p12,1,0.250055,1.322997,[ 19 265] ; [ 2 65],[ 16.99145299 267.00854701] ; [ 4.00854701 62.99145299],0
p6,1,0.253297,1.305028,[ 76 207] ; [13 52],[ 72.37643678 210.62356322] ; [16.62356322 48.37643678],0
a6,1,0.257475,1.282286,[205  79] ; [43 23],[201.23428571  82.76571429] ; [46.76571429 19.23428571],0
s1,1,0.272336,1.204943,[  6 273] ; [ 3 63],[  7.27826087 271.72173913] ; [ 1.72173913 64.27826087],0
p4,1,0.282372,1.15564,[137 147] ; [27 39],[133.07428571 150.92571429] ; [30.92571429 35.07428571],0
a7,1,0.327721,0.957883,[203  80] ; [44 23],[199.71714286  83.28285714] ; [47.28285714 19.71714286],0
s2,1,0.378748,0.774762,[151 130] ; [32 35],[147.76724138 133.23275862] ; [35.23275862 31.76724138],0
u3,1,0.380836,0.768,[42 33] ; [14  7],[43.75 31.25] ; [12.25  8.75],0
a8,1,0.400741,0.706102,[ 32 227] ; [10 51],[ 33.99375 225.00625] ; [ 8.00625 52.99375],0
n2,1,0.416924,0.658969,[56 22] ; [20  5],[57.55339806 20.44660194] ; [18.44660194  6.55339806],0
a3,1,0.424454,0.637951,[208  75] ; [46 21],[205.37714286  77.62285714] ; [48.62285714 18.37714286],0
d4,1,0.427695,0.629074,[229  55] ; [56 10],[231.25714286  52.74285714] ; [53.74285714 12.25714286],0
p1,1,0.488467,0.479902,[ 15 269] ; [ 5 62],[ 16.18233618 267.81766382] ; [ 3.81766382 63.18233618],0
v1,1,0.500393,0.454103,[134 138] ; [29 36],[131.56083086 140.43916914] ; [31.43916914 33.56083086],0
p7,1,0.628832,0.233648,[127 152] ; [27 37],[125.26530612 153.73469388] ; [28.73469388 35.26530612],0
u4,1,0.631467,0.230077,[  7 277] ; [ 1 66],[  6.47293447 277.52706553] ; [ 1.52706553 65.47293447],0
s4,1,0.79014,0.070825,[ 50 231] ; [11 56],[ 49.25574713 231.74425287] ; [11.74425287 55.25574713],0
n1,1,0.800259,0.064015,[29 49] ; [10 15],[29.53398058 48.46601942] ; [ 9.46601942 15.53398058],0
p5,1,0.918863,0.010377,[ 16 263] ; [ 4 62],[ 16.17391304 262.82608696] ; [ 3.82608696 62.17391304],0
n3,1,0.924309,0.009026,[60 18] ; [19  6],[59.82524272 18.17475728] ; [19.17475728  5.82524272],0
b5,1,0.967192,0.001692,[190  94] ; [45 22],[190.14245014  93.85754986] ; [44.85754986 22.14245014],0
b4,1,0.976729,0.000851,[169 115] ; [40 27],[169.10541311 114.89458689] ; [39.89458689 27.10541311],0
s3,1,0.991089,0.000125,[162 119] ; [38 28],[161.95965418 119.04034582] ; [38.04034582 27.95965418],0
