Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-05,19.539039,[89  7] ; [22 14],[80.72727273 15.27272727] ; [30.27272727  5.72727273],1
d4,1,0.232739,1.424046,[50 46] ; [15 22],[46.91729323 49.08270677] ; [18.08270677 18.91729323],0
p6,1,0.239823,1.381632,[21 74] ; [ 5 33],[18.57142857 76.42857143] ; [ 7.42857143 30.57142857],0
b5,1,0.271627,1.208514,[58 38] ; [19 19],[55.1641791 40.8358209] ; [21.8358209 16.1641791],0
s2,1,0.290447,1.117547,[36 57] ; [11 27],[33.36641221 59.63358779] ; [13.63358779 24.36641221],0
s1,1,0.435783,0.607361,[ 6 86] ; [ 4 34],[ 7.07692308 84.92307692] ; [ 2.92307692 35.07692308],0
b2,1,0.507572,0.439069,[20 37] ; [ 6 16],[18.75949367 38.24050633] ; [ 7.24050633 14.75949367],0
b3,1,0.507572,0.439069,[20 37] ; [ 6 16],[18.75949367 38.24050633] ; [ 7.24050633 14.75949367],0
d1,1,0.515635,0.422615,[ 5 91] ; [ 1 37],[ 4.29850746 91.70149254] ; [ 1.70149254 36.29850746],0
u1,1,0.556112,0.346481,[ 3 93] ; [ 2 36],[ 3.58208955 92.41791045] ; [ 1.41791045 36.58208955],0
n3,1,0.589456,0.291195,[17 11] ; [13  6],[17.87234043 10.12765957] ; [12.12765957  6.87234043],0
a3,1,0.639432,0.219486,[44 50] ; [19 18],[45.20610687 48.79389313] ; [17.79389313 19.20610687],0
u2,1,0.641552,0.216718,[21 30] ; [ 9 10],[21.85714286 29.14285714] ; [ 8.14285714 10.85714286],0
d3,1,0.651772,0.203673,[42 54] ; [15 23],[40.8358209 55.1641791] ; [16.1641791 21.8358209],0
n2,1,0.722279,0.12632,[23  6] ; [15  5],[22.48979592  6.51020408] ; [15.51020408  4.48979592],0
s4,1,0.771802,0.084111,[17 78] ; [ 6 32],[16.42857143 78.57142857] ; [ 6.57142857 31.42857143],0
p7,1,0.79381,0.068312,[40 54] ; [14 21],[39.34883721 54.65116279] ; [14.65116279 20.34883721],0
a2,1,0.82796,0.047227,[ 6 90] ; [ 2 36],[ 5.73134328 90.26865672] ; [ 2.26865672 35.73134328],0
a8,1,0.906899,0.013678,[12 77] ; [ 5 30],[12.2016129 76.7983871] ; [ 4.7983871 30.2016129],0
s3,1,0.910231,0.012712,[45 47] ; [19 19],[45.29230769 46.70769231] ; [18.70769231 19.29230769],0
d2,1,0.924339,0.009019,[22 74] ; [ 9 29],[22.20895522 73.79104478] ; [ 8.79104478 29.20895522],0
u3,1,0.938156,0.00602,[22 29] ; [ 8 11],[21.85714286 29.14285714] ; [ 8.14285714 10.85714286],0
