Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.1e-05,19.346694,[10 72] ; [19 20],[19.65289256 62.34710744] ; [ 9.34710744 29.65289256],1
b1,1,0.71199,0.136297,[46 37] ; [23 16],[46.94262295 36.05737705] ; [22.05737705 16.94262295],0
a4,1,0.740766,0.109455,[29 53] ; [15 24],[29.81818182 52.18181818] ; [14.18181818 24.81818182],0
s1,1,0.741443,0.108863,[ 5 77] ; [ 3 36],[ 5.4214876 76.5785124] ; [ 2.5785124 36.4214876],0
p1,1,0.743066,0.10745,[ 7 76] ; [ 4 35],[ 7.48360656 75.51639344] ; [ 3.51639344 35.48360656],0
a2,1,0.747903,0.103302,[15 68] ; [ 8 31],[15.64754098 67.35245902] ; [ 7.35245902 31.64754098],0
b5,1,0.806803,0.059806,[47 36] ; [23 16],[47.62295082 35.37704918] ; [22.37704918 16.62295082],0
v4,1,0.808074,0.059006,[73 10] ; [34  4],[73.39669421  9.60330579] ; [33.60330579  4.39669421],0
b4,1,0.824474,0.049193,[57 26] ; [26 13],[56.46721311 26.53278689] ; [26.53278689 12.46721311],0
a5,1,0.876815,0.024028,[52 31] ; [25 14],[52.3852459 30.6147541] ; [24.6147541 14.3852459],0
a6,1,0.894125,0.017712,[50 33] ; [23 16],[49.66393443 33.33606557] ; [23.33606557 15.66393443],0
d2,1,0.905227,0.014176,[39 43] ; [19 20],[39.30578512 42.69421488] ; [18.69421488 20.30578512],0
a7,1,0.929634,0.007798,[54 28] ; [26 13],[54.21487603 27.78512397] ; [25.78512397 13.21487603],0
