Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,2e-06,22.409838,[  8 268] ; [14 67],[ 17.00840336 258.99159664] ; [ 4.99159664 76.00840336],1
s4,1,0.386668,0.749395,[ 28 244] ; [11 69],[ 30.13636364 241.86363636] ; [ 8.86363636 71.13636364],0
u3,1,0.421112,0.647211,[55 53] ; [20 14],[57.04225352 50.95774648] ; [17.95774648 16.04225352],0
b4,1,0.440455,0.595097,[170 106] ; [55 28],[172.98050139 103.01949861] ; [52.01949861 30.98050139],0
d5,1,0.452783,0.563675,[212  64] ; [67 16],[214.49582173  61.50417827] ; [64.50417827 18.49582173],0
d2,1,0.472657,0.515758,[107 169] ; [35 46],[109.78151261 166.21848739] ; [32.21848739 48.78151261],0
a8,1,0.530521,0.393394,[ 29 223] ; [ 7 71],[ 27.49090909 224.50909091] ; [ 8.50909091 69.49090909],0
a6,1,0.535891,0.383208,[196  80] ; [56 27],[193.73816156  82.26183844] ; [58.26183844 24.73816156],0
s8,1,0.55834,0.342586,[ 55 221] ; [19 64],[ 56.8913649 219.1086351] ; [17.1086351 65.8913649],0
r2,1,0.604675,0.268003,[248  25] ; [76  6],[249.16056338  23.83943662] ; [74.83943662  7.16056338],0
a4,1,0.605805,0.26633,[104 171] ; [34 49],[106.00558659 168.99441341] ; [31.99441341 51.00558659],0
u1,1,0.615443,0.252325,[ 31 245] ; [11 72],[ 32.28969359 243.71030641] ; [ 9.71030641 73.28969359],0
n4,1,0.648638,0.207621,[196  79] ; [57 26],[194.34357542  80.65642458] ; [58.65642458 24.34357542],0
b1,1,0.704587,0.143744,[ 96 180] ; [27 56],[ 94.56267409 181.43732591] ; [28.43732591 54.56267409],0
d3,1,0.725934,0.122878,[182  94] ; [53 30],[180.66852368  95.33147632] ; [54.33147632 28.66852368],0
s1,1,0.738715,0.111259,[  5 265] ; [ 2 80],[  5.36931818 264.63068182] ; [ 1.63068182 80.36931818],0
v3,1,0.741055,0.109202,[ 78 188] ; [25 55],[ 79.1849711 186.8150289] ; [23.8150289 56.1849711],0
n1,1,0.803417,0.061965,[22 49] ; [3 8],[21.64634146 49.35365854] ; [3.35365854 7.64634146],0
a3,1,0.810297,0.057621,[167 109] ; [49 34],[166.06128134 109.93871866] ; [49.93871866 33.06128134],0
n3,1,0.89198,0.018441,[53 18] ; [8 3],[52.81707317 18.18292683] ; [8.18292683 2.81707317],0
a2,1,0.903388,0.014734,[ 45 231] ; [14 69],[ 45.35933148 230.64066852] ; [13.64066852 69.35933148],0
n2,1,0.91269,0.012022,[52 18] ; [8 3],[51.85185185 18.14814815] ; [8.14814815 2.85185185],0
n5,1,0.929223,0.007889,[191  81] ; [58 24],[191.3220339  80.6779661] ; [57.6779661 24.3220339],0
v2,1,0.963918,0.002046,[139 121] ; [43 37],[139.17647059 120.82352941] ; [42.82352941 37.17647059],0
p2,1,0.988362,0.000213,[229  44] ; [68 13],[229.04237288  43.95762712] ; [67.95762712 13.04237288],0
