Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.001649,9.904762,[ 3 10] ; [11  2],[7. 6.] ; [7. 6.],0
a8,1,0.267642,1.228792,[ 3 25] ; [ 1 29],[ 1.93103448 26.06896552] ; [ 2.06896552 27.93103448],0
p4,1,0.344853,0.892308,[ 5 24] ; [ 8 21],[ 6.5 22.5] ; [ 6.5 22.5],0
s4,1,0.346885,0.88482,[ 4 25] ; [ 7 23],[ 5.40677966 23.59322034] ; [ 5.59322034 24.40677966],0
b1,1,0.361431,0.832914,[17 12] ; [21  9],[18.6779661 10.3220339] ; [19.3220339 10.6779661],0
n4,1,0.363151,0.826967,[16 13] ; [13 17],[14.25423729 14.74576271] ; [14.74576271 15.25423729],0
d4,1,0.365462,0.819035,[16 13] ; [20 10],[17.69491525 11.30508475] ; [18.30508475 11.69491525],0
a5,1,0.366171,0.816619,[15 14] ; [12 18],[13.27118644 15.72881356] ; [13.72881356 16.27118644],0
d2,1,0.366978,0.813873,[14 15] ; [11 19],[12.28813559 16.71186441] ; [12.71186441 17.28813559],0
r1,1,0.505928,0.44248,[ 9 20] ; [ 7 23],[ 7.86440678 21.13559322] ; [ 8.13559322 21.86440678],0
p5,1,0.594816,0.282886,[ 1 27] ; [ 2 28],[ 1.44827586 26.55172414] ; [ 1.55172414 28.44827586],0
p3,1,0.674003,0.176955,[ 4 25] ; [ 5 23],[ 4.57894737 24.42105263] ; [ 4.42105263 23.57894737],0
b4,1,0.697667,0.15091,[15 14] ; [14 16],[14.25423729 14.74576271] ; [14.74576271 15.25423729],0
a7,1,0.703234,0.14513,[15 14] ; [17 13],[15.72881356 13.27118644] ; [16.27118644 13.72881356],0
d1,1,0.860959,0.030679,[10 19] ; [11 19],[10.3220339 18.6779661] ; [10.6779661 19.3220339],0
n5,1,0.894641,0.017539,[15 14] ; [15 15],[14.74576271 14.25423729] ; [15.25423729 14.74576271],0
v3,1,0.953094,0.00346,[ 5 24] ; [ 5 25],[ 4.91525424 24.08474576] ; [ 5.08474576 24.91525424],0
a3,1,0.970809,0.001339,[16 12] ; [17 13],[15.93103448 12.06896552] ; [17.06896552 12.93103448],0
