Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,42.441756,[125  36] ; [ 95 120],[94.20212766 66.79787234] ; [125.79787234  89.20212766],1
s5,1,0.144563,2.128707,[92 67] ; [107 106],[85.05645161 73.94354839] ; [113.94354839  99.05645161],0
u1,1,0.169245,1.889619,[ 42 122] ; [ 44 179],[ 36.44444444 127.55555556] ; [ 49.55555556 173.44444444],0
b3,1,0.181425,1.785909,[40 55] ; [48 95],[35.12605042 59.87394958] ; [52.87394958 90.12605042],0
b2,1,0.181425,1.785909,[40 55] ; [48 95],[35.12605042 59.87394958] ; [52.87394958 90.12605042],0
d1,1,0.192612,1.697528,[112  52] ; [138  85],[105.94315245  58.05684755] ; [144.05684755  78.94315245],0
a8,1,0.194816,1.680814,[ 17 132] ; [ 34 175],[ 21.22625698 127.77374302] ; [ 29.77374302 179.22625698],0
b5,1,0.237953,1.392681,[97 67] ; [145  78],[102.55297158  61.44702842] ; [139.44702842  83.55297158],0
d4,1,0.250488,1.32058,[143  18] ; [189  34],[139.19791667  21.80208333] ; [192.80208333  30.19791667],0
a7,1,0.251449,1.315235,[112  50] ; [166  57],[116.97662338  45.02337662] ; [161.02337662  61.97662338],0
u4,1,0.253204,1.305538,[  6 158] ; [  4 219],[  4.2377261 159.7622739] ; [  5.7622739 217.2377261],0
p10,1,0.269985,1.216821,[143  20] ; [185  36],[139.22916667  23.77083333] ; [188.77083333  32.22916667],0
a4,1,0.314286,1.012576,[83 80] ; [102 121],[78.12176166 84.87823834] ; [106.87823834 116.12176166],0
p7,1,0.316181,1.004678,[110  46] ; [141  74],[105.54177898  50.45822102] ; [145.45822102  69.54177898],0
a2,1,0.331702,0.942241,[ 50 114] ; [ 58 165],[ 45.76744186 118.23255814] ; [ 62.23255814 160.76744186],0
p11,1,0.34049,0.908585,[131  33] ; [169  54],[127.13178295  36.86821705] ; [172.86821705  50.13178295],0
u2,1,0.374513,0.788635,[24 13] ; [30 24],[21.95604396 15.04395604] ; [32.04395604 21.95604396],0
a3,1,0.423911,0.639448,[127  35] ; [167  56],[123.70909091  38.29090909] ; [170.29090909  52.70909091],0
d3,1,0.477199,0.505258,[118  44] ; [155  68],[114.87272727  47.12727273] ; [158.12727273  64.87272727],0
d5,1,0.483825,0.490229,[138  24] ; [184  39],[135.49090909  26.50909091] ; [186.50909091  36.49090909],0
r3,1,0.504745,0.444947,[160   4] ; [212   8],[158.875   5.125] ; [213.125   6.875],0
d2,1,0.513229,0.427478,[89 73] ; [115 108],[85.83896104 76.16103896] ; [118.16103896 104.83896104],0
a6,1,0.523509,0.406975,[109  52] ; [144  79],[106.07552083  54.92447917] ; [146.92447917  76.07552083],0
p6,1,0.530956,0.392562,[69 91] ; [102 118],[72. 88.] ; [ 99. 121.],0
p4,1,0.54651,0.363607,[112  50] ; [147  75],[109.265625  52.734375] ; [149.734375  72.265625],0
n3,1,0.564692,0.331645,[22 11] ; [37 14],[23.17857143  9.82142857] ; [35.82142857 15.17857143],0
b1,1,0.634664,0.225788,[ 63 101] ; [ 91 132],[65.26098191 98.73901809] ; [ 88.73901809 134.26098191],0
r2,1,0.66043,0.193001,[158   6] ; [209  10],[157.14882507   6.85117493] ; [209.85117493   9.14882507],0
n2,1,0.705935,0.142371,[27  6] ; [40 11],[26.32142857  6.67857143] ; [40.67857143 10.32142857],0
b4,1,0.772959,0.083236,[98 66] ; [130  93],[96.62015504 67.37984496] ; [131.37984496  91.62015504],0
u3,1,0.827896,0.047263,[25 11] ; [37 18],[24.52747253 11.47252747] ; [37.47252747 17.52747253],0
s3,1,0.856416,0.032739,[143  17] ; [198  25],[142.45430809  17.54569191] ; [198.54569191  24.45430809],0
p2,1,0.865096,0.028863,[137  26] ; [188  34],[137.5974026  25.4025974] ; [187.4025974  34.5974026],0
s1,1,0.865619,0.028637,[  8 154] ; [ 10 209],[  7.65354331 154.34645669] ; [ 10.34645669 208.65354331],0
n1,1,0.870871,0.026423,[13 20] ; [21 30],[13.35714286 19.64285714] ; [20.64285714 30.35714286],0
p9,1,0.876707,0.02407,[142  18] ; [195  26],[141.52230971  18.47769029] ; [195.47769029  25.52230971],0
v4,1,0.947185,0.004388,[159   5] ; [214   7],[158.88831169   5.11168831] ; [214.11168831   6.88831169],0
