Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.001216,10.465897,[18  6] ; [ 8 19],[12.23529412 11.76470588] ; [13.76470588 13.23529412],0
a1,1,0.564972,0.331169,[ 4 20] ; [ 3 24],[ 3.29411765 20.70588235] ; [ 3.70588235 23.29411765],0
p8,1,0.573604,0.316689,[ 5 19] ; [ 4 23],[ 4.23529412 19.76470588] ; [ 4.76470588 22.23529412],0
n6,1,0.589515,0.291102,[15  8] ; [15 11],[14.08163265  8.91836735] ; [15.91836735 10.08163265],0
p12,1,0.599964,0.27505,[ 1 23] ; [ 2 24],[ 1.44 22.56] ; [ 1.56 24.44],0
n5,1,0.617935,0.24878,[20  4] ; [21  6],[19.29411765  4.70588235] ; [21.70588235  5.29411765],0
v1,1,0.697051,0.151558,[ 8 15] ; [ 8 19],[ 7.36 15.64] ; [ 8.64 18.36],0
d1,1,0.713975,0.134339,[11 13] ; [11 16],[10.35294118 13.64705882] ; [11.64705882 15.35294118],0
b1,1,0.713975,0.134339,[13 11] ; [16 11],[13.64705882 10.35294118] ; [15.35294118 11.64705882],0
r2,1,0.715137,0.1332,[13  9] ; [14 12],[12.375  9.625] ; [14.625 11.375],0
s6,1,0.764956,0.089389,[ 8 15] ; [ 8 18],[ 7.51020408 15.48979592] ; [ 8.48979592 17.51020408],0
p7,1,0.776011,0.080952,[ 8 16] ; [ 8 19],[ 7.52941176 16.47058824] ; [ 8.47058824 18.52941176],0
u3,1,0.80725,0.059524,[1 5] ; [ 3 11],[1.2 4.8] ; [ 2.8 11.2],0
p10,1,0.87925,0.02308,[11 12] ; [13 13],[11.26530612 11.73469388] ; [12.73469388 13.26530612],0
p11,1,0.920746,0.009899,[11 13] ; [12 15],[10.82352941 13.17647059] ; [12.17647059 14.82352941],0
a4,1,0.923831,0.009141,[ 8 16] ; [ 9 17],[ 8.16 15.84] ; [ 8.84 17.16],0
s7,1,0.952972,0.003478,[ 5 16] ; [ 6 20],[ 4.91489362 16.08510638] ; [ 6.08510638 19.91489362],0
p9,1,0.961358,0.002347,[12 10] ; [14 12],[11.91666667 10.08333333] ; [14.08333333 11.91666667],0
s3,1,0.961749,0.0023,[ 9 14] ; [10 16],[ 8.91836735 14.08163265] ; [10.08163265 15.91836735],0
d2,1,0.981875,0.000516,[13 11] ; [14 12],[12.96 11.04] ; [14.04 11.96],0
d4,1,1.0,0.0,[16  8] ; [18  9],[16.  8.] ; [18.  9.],0
