Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,3e-06,21.896886,[ 3 83] ; [ 49 125],[17.2 68.8] ; [ 34.8 139.2],1
b5,1,0.174557,1.843363,[56 30] ; [98 76],[50.93846154 35.06153846] ; [103.06153846  70.93846154],0
u2,1,0.175627,1.834243,[18  7] ; [25 20],[15.35714286  9.64285714] ; [27.64285714 17.35714286],0
u1,1,0.178703,1.808378,[22 64] ; [ 32 142],[17.86153846 68.13846154] ; [ 36.13846154 137.86153846],0
n5,1,0.183326,1.770453,[66 19] ; [146  27],[69.84496124 15.15503876] ; [142.15503876  30.84496124],0
d3,1,0.183591,1.76831,[54 31] ; [124  49],[58.64341085 26.35658915] ; [119.35658915  53.64341085],0
a4,1,0.187508,1.737091,[46 39] ; [79 95],[41.02316602 43.97683398] ; [83.97683398 90.02316602],0
v4,1,0.205852,1.600361,[80  6] ; [167   6],[82.01544402  3.98455598] ; [164.98455598   8.01544402],0
r1,1,0.210484,1.568097,[65 21] ; [143  31],[68.8 17.2] ; [139.2  34.8],0
d1,1,0.215828,1.531899,[47 39] ; [109  65],[51.6 34.4] ; [104.4  69.6],0
n1,1,0.280087,1.166667,[10 18] ; [14 14],[12. 16.] ; [12. 16.],0
p2,1,0.313375,1.016399,[74 12] ; [157  17],[76.40769231  9.59230769] ; [154.59230769  19.40769231],0
a5,1,0.337115,0.921371,[61 25] ; [133  41],[64.16923077 21.83076923] ; [129.83076923  44.16923077],0
a1,1,0.346466,0.886359,[ 5 81] ; [ 16 158],[ 6.94615385 79.05384615] ; [ 14.05384615 159.94615385],0
s1,1,0.443889,0.586207,[ 4 80] ; [  5 168],[ 2.94163424 81.05836576] ; [  6.05836576 166.94163424],0
b2,1,0.448737,0.573841,[31 27] ; [53 59],[28.65882353 29.34117647] ; [55.34117647 56.65882353],0
b3,1,0.448737,0.573841,[31 27] ; [53 59],[28.65882353 29.34117647] ; [55.34117647 56.65882353],0
a3,1,0.484266,0.489241,[61 25] ; [129  43],[63.33333333 22.66666667] ; [126.66666667  45.33333333],0
s7,1,0.533809,0.387135,[50 31] ; [95 70],[47.74390244 33.25609756] ; [97.25609756 67.74390244],0
n6,1,0.536605,0.381869,[77  9] ; [158  14],[78.33333333  7.66666667] ; [156.66666667  15.33333333],0
u3,1,0.559246,0.341011,[16  9] ; [25 19],[14.85507246 10.14492754] ; [26.14492754 17.85507246],0
s3,1,0.600987,0.27351,[47 38] ; [101  71],[48.94941634 36.05058366] ; [99.05058366 72.94941634],0
s6,1,0.603471,0.269792,[58 26] ; [122  47],[59.76284585 24.23715415] ; [120.23715415  48.76284585],0
n3,1,0.642857,0.215025,[22  7] ; [19  8],[21.23214286  7.76785714] ; [19.76785714  7.23214286],0
b4,1,0.666474,0.185755,[48 38] ; [102  72],[49.61538462 36.38461538] ; [100.38461538  73.61538462],0
s2,1,0.677707,0.172719,[49 36] ; [95 78],[47.44186047 37.55813953] ; [96.55813953 76.44186047],0
d5,1,0.734324,0.115179,[71 15] ; [139  33],[70. 16.] ; [140.  32.],0
a7,1,0.745214,0.105597,[62 24] ; [128  45],[63.08880309 22.91119691] ; [126.91119691  46.08880309],0
v2,1,0.756348,0.096274,[53 30] ; [107  66],[51.875 31.125] ; [108.125  64.875],0
d2,1,0.757498,0.095337,[45 41] ; [87 86],[43.83011583 42.16988417] ; [88.16988417 84.83011583],0
r3,1,0.793282,0.068671,[83  3] ; [168   5],[83.34362934  2.65637066] ; [167.65637066   5.34362934],0
n4,1,0.823686,0.049643,[75 11] ; [150  24],[74.42307692 11.57692308] ; [150.57692308  23.42307692],0
r2,1,0.834927,0.043425,[82  4] ; [164   7],[82.31906615  3.68093385] ; [163.68093385   7.31906615],0
b1,1,0.939541,0.005753,[37 49] ; [ 74 100],[36.71538462 49.28461538] ; [74.28461538 99.71538462],0
