Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.295171,[22 89] ; [86 96],[40.91467577 70.08532423] ; [ 67.08532423 114.91467577],1
b5,1,0.101317,2.684683,[59 52] ; [115  68],[65.69387755 45.30612245] ; [108.30612245  74.69387755],0
b1,1,0.118095,2.442401,[54 57] ; [ 72 111],[47.57142857 63.42857143] ; [ 78.42857143 104.57142857],0
n6,1,0.127147,2.326992,[75 34] ; [140  42],[80.53264605 28.46735395] ; [134.46735395  47.53264605],0
s2,1,0.130534,2.286147,[35 76] ; [ 73 108],[41.05479452 69.94520548] ; [ 66.94520548 114.05479452],0
b2,1,0.135031,2.233685,[25 45] ; [24 72],[20.6626506 49.3373494] ; [28.3373494 67.6626506],0
b3,1,0.135031,2.233685,[25 45] ; [24 72],[20.6626506 49.3373494] ; [28.3373494 67.6626506],0
p4,1,0.151158,2.060529,[43 66] ; [88 95],[48.90068493 60.09931507] ; [ 82.09931507 100.90068493],0
p1,1,0.167896,1.901634,[ 10 100] ; [  9 172],[  7.18213058 102.81786942] ; [ 11.81786942 169.18213058],0
p3,1,0.238086,1.391891,[34 76] ; [ 69 114],[38.66894198 71.33105802] ; [ 64.33105802 118.66894198],0
a8,1,0.258042,1.279234,[11 92] ; [ 27 147],[14.1299639 88.8700361] ; [ 23.8700361 150.1299639],0
a2,1,0.279111,1.171416,[  4 107] ; [ 12 171],[  6.04081633 104.95918367] ; [  9.95918367 173.04081633],0
p6,1,0.307061,1.043275,[25 82] ; [ 52 128],[28.70731707 78.29268293] ; [ 48.29268293 131.70731707],0
u2,1,0.309479,1.032897,[26 35] ; [41 39],[28.9858156 32.0141844] ; [38.0141844 41.9858156],0
a1,1,0.332823,0.937882,[  7 104] ; [  7 176],[  5.28571429 105.71428571] ; [  8.71428571 174.28571429],0
s8,1,0.343224,0.898351,[27 83] ; [ 54 128],[30.51369863 79.48630137] ; [ 50.48630137 131.51369863],0
p12,1,0.364506,0.822308,[  6 103] ; [  6 175],[  4.51034483 104.48965517] ; [  7.48965517 173.51034483],0
n4,1,0.364811,0.821264,[68 43] ; [121  61],[71.60068259 39.39931741] ; [117.39931741  64.60068259],0
s3,1,0.467299,0.528357,[50 59] ; [91 90],[52.99655172 56.00344828] ; [88.00344828 92.99655172],0
p7,1,0.517279,0.419315,[58 50] ; [102  75],[60.63157895 47.36842105] ; [99.36842105 77.63157895],0
n2,1,0.621105,0.244318,[31 12] ; [33 10],[32. 11.] ; [32. 11.],0
s5,1,0.625129,0.238724,[28 79] ; [ 42 136],[26.28070175 80.71929825] ; [ 43.71929825 134.28070175],0
p11,1,0.627338,0.235688,[79 32] ; [135  48],[80.79591837 30.20408163] ; [133.20408163  49.79591837],0
s1,1,0.689215,0.159937,[  6 104] ; [  8 173],[  5.29209622 104.70790378] ; [  8.70790378 172.29209622],0
n1,1,0.716242,0.132122,[15 27] ; [17 26],[15.81176471 26.18823529] ; [16.18823529 26.81176471],0
b4,1,0.72144,0.127117,[60 51] ; [95 88],[58.52040816 52.47959184] ; [96.47959184 86.52040816],0
s7,1,0.741048,0.109207,[36 72] ; [ 61 112],[37.28113879 70.71886121] ; [ 59.71886121 113.28113879],0
n5,1,0.755664,0.096833,[74 35] ; [119  61],[72.79238754 36.20761246] ; [120.20761246  59.79238754],0
a4,1,0.805951,0.060345,[28 82] ; [ 44 138],[27.12328767 82.87671233] ; [ 44.87671233 137.12328767],0
p5,1,0.807635,0.059282,[  8 101] ; [ 12 170],[  7.49140893 101.50859107] ; [ 12.50859107 169.49140893],0
v1,1,0.86519,0.028822,[44 66] ; [ 73 105],[44.6875 65.3125] ; [ 72.3125 105.6875],0
s4,1,0.929806,0.00776,[21 90] ; [ 35 146],[21.28767123 89.71232877] ; [ 34.71232877 146.28767123],0
