Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,98.363287,[578  19] ; [87 36],[551.39583333  45.60416667] ; [113.60416667   9.39583333],1
s5,1,0.190323,1.715112,[208 366] ; [34 80],[201.90116279 372.09883721] ; [40.09883721 73.90116279],0
b4,1,0.222352,1.489125,[348 249] ; [79 44],[354.05416667 242.94583333] ; [72.94583333 50.05416667],0
n6,1,0.259958,1.268981,[500  92] ; [98 24],[495.82072829  96.17927171] ; [102.17927171  19.82072829],0
u2,1,0.327228,0.959836,[79 58] ; [18 19],[76.37356322 60.62643678] ; [20.62643678 16.37356322],0
v3,1,0.337954,0.918179,[234 334] ; [43 75],[229.35276968 338.64723032] ; [47.64723032 70.35276968],0
p9,1,0.343408,0.897667,[495  91] ; [98 23],[491.5106082  94.4893918] ; [101.4893918  19.5106082],0
b1,1,0.35451,0.857248,[221 376] ; [51 72],[225.53333333 371.46666667] ; [46.46666667 76.53333333],0
p1,1,0.371438,0.798847,[ 44 547] ; [ 12 110],[ 46.41795231 544.58204769] ; [  9.58204769 112.41795231],0
p3,1,0.413852,0.667708,[306 287] ; [58 64],[301.89090909 291.10909091] ; [62.10909091 59.89090909],0
s4,1,0.427716,0.629017,[ 97 489] ; [24 99],[100.00846262 485.99153738] ; [ 20.99153738 102.00846262],0
p10,1,0.465527,0.532573,[483 106] ; [95 25],[480.17207334 108.82792666] ; [97.82792666 22.17207334],0
p11,1,0.507575,0.439062,[463 134] ; [92 31],[460.1875 136.8125] ; [94.8125 28.1875],0
p5,1,0.528552,0.397174,[ 65 524] ; [ 11 110],[ 63.04788732 525.95211268] ; [ 12.95211268 108.04788732],0
u4,1,0.555415,0.347705,[ 15 582] ; [  2 121],[ 14.09583333 582.90416667] ; [  2.90416667 120.09583333],0
b5,1,0.634375,0.226175,[360 237] ; [77 46],[362.34583333 234.65416667] ; [74.65416667 48.34583333],0
n1,1,0.763698,0.090377,[52 80] ; [16 22],[52.8 79.2] ; [15.2 22.8],0
n2,1,0.874386,0.024993,[94 38] ; [29 11],[94.39534884 37.60465116] ; [28.60465116 11.39534884],0
p6,1,0.884442,0.021124,[214 371] ; [44 74],[214.69416785 370.30583215] ; [43.30583215 74.69416785],0
s1,1,0.899615,0.015913,[ 18 570] ; [  4 118],[ 18.21971831 569.78028169] ; [  3.78028169 118.21971831],0
b3,1,0.906797,0.013708,[135 227] ; [27 44],[135.43648961 226.56351039] ; [26.56351039 44.43648961],0
b2,1,0.906797,0.013708,[135 227] ; [27 44],[135.43648961 226.56351039] ; [26.56351039 44.43648961],0
