Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,40.366194,[82  9] ; [130 118],[56.90855457 34.09144543] ; [155.09144543  92.90855457],1
p11,1,0.438062,0.601354,[70 22] ; [179  70],[67.17888563 24.82111437] ; [181.82111437  67.17888563],0
u1,1,0.535592,0.38377,[13 79] ; [ 29 220],[11.3313783 80.6686217] ; [ 30.6686217 218.3313783],0
v2,1,0.537507,0.380179,[43 44] ; [108 129],[40.5462963 46.4537037] ; [110.4537037 126.5462963],0
a6,1,0.564666,0.33169,[57 35] ; [162  86],[59.25882353 32.74117647] ; [159.74117647  88.25882353],0
u2,1,0.57653,0.311878,[10 13] ; [45 45],[11.19469027 11.80530973] ; [43.80530973 46.19469027],0
s1,1,0.642483,0.21551,[ 3 86] ; [ 11 232],[ 3.75301205 85.24698795] ; [ 10.24698795 232.75301205],0
d3,1,0.675286,0.175481,[60 32] ; [155  92],[58.3480826 33.6519174] ; [156.6519174  90.3480826],0
a8,1,0.691699,0.157252,[14 68] ; [ 35 195],[12.87820513 69.12179487] ; [ 36.12179487 193.87820513],0
n1,1,0.731746,0.117514,[12 14] ; [33 45],[11.25 14.75] ; [33.75 44.25],0
a1,1,0.742316,0.108102,[ 4 88] ; [ 13 236],[ 4.58651026 87.41348974] ; [ 12.41348974 236.58651026],0
u4,1,0.923613,0.009194,[ 2 90] ; [  5 244],[ 1.88856305 90.11143695] ; [  5.11143695 243.88856305],0
a7,1,0.990299,0.000148,[60 31] ; [164  85],[59.95294118 31.04705882] ; [164.04705882  84.95294118],0
b4,1,0.991884,0.000103,[54 38] ; [146 103],[53.95894428 38.04105572] ; [146.04105572 102.95894428],0
