Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,7.3e-05,15.742346,[14 44] ; [17  7],[21.92682927 36.07317073] ; [ 9.07317073 14.92682927],1
s7,1,0.237908,1.39295,[11 43] ; [ 7 14],[12.96 41.04] ; [ 5.04 15.96],0
n3,1,0.371332,0.799201,[18  8] ; [3 3],[17.0625  8.9375] ; [3.9375 2.0625],0
b2,1,0.449238,0.572573,[ 9 26] ; [ 2 11],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
b3,1,0.449238,0.572573,[ 9 26] ; [ 2 11],[ 8.02083333 26.97916667] ; [ 2.97916667 10.02083333],0
n4,1,0.470791,0.520118,[22 37] ; [11 13],[23.45783133 35.54216867] ; [ 9.54216867 14.45783133],0
v2,1,0.474169,0.512244,[24 34] ; [12 12],[25.46341463 32.53658537] ; [10.53658537 13.46341463],0
a8,1,0.501297,0.45219,[ 1 56] ; [ 1 22],[ 1.425 55.575] ; [ 0.575 22.425],0
a3,1,0.526212,0.401701,[34 25] ; [12 12],[32.69879518 26.30120482] ; [13.30120482 10.69879518],0
a6,1,0.535574,0.383804,[30 29] ; [14 10],[31.27710843 27.72289157] ; [12.72289157 11.27710843],0
r1,1,0.537627,0.379956,[41 18] ; [15  9],[39.80722892 19.19277108] ; [16.19277108  7.80722892],0
d2,1,0.582777,0.301767,[26 33] ; [ 9 15],[24.87951807 34.12048193] ; [10.12048193 13.87951807],0
d4,1,0.657521,0.196549,[44 15] ; [19  5],[44.78313253 14.21686747] ; [18.21686747  5.78313253],0
p10,1,0.676725,0.173836,[10 49] ; [ 5 19],[10.6626506 48.3373494] ; [ 4.3373494 19.6626506],0
a2,1,0.715144,0.133193,[ 8 51] ; [ 4 20],[ 8.53012048 50.46987952] ; [ 3.46987952 20.53012048],0
n1,1,0.816297,0.053968,[ 8 20] ; [2 4],[ 8.23529412 19.76470588] ; [1.76470588 4.23529412],0
b1,1,0.841388,0.040047,[33 26] ; [14 10],[33.40963855 25.59036145] ; [13.59036145 10.40963855],0
d3,1,0.841388,0.040047,[33 26] ; [14 10],[33.40963855 25.59036145] ; [13.59036145 10.40963855],0
a4,1,0.844785,0.038329,[21 38] ; [ 8 16],[20.61445783 38.38554217] ; [ 8.38554217 15.61445783],0
v4,1,0.846026,0.03771,[47 11] ; [19  5],[46.68292683 11.31707317] ; [19.31707317  4.68292683],0
p1,1,0.847452,0.037006,[ 3 55] ; [ 1 23],[ 2.82926829 55.17073171] ; [ 1.17073171 22.82926829],0
p2,1,0.883359,0.021525,[33 26] ; [13 11],[32.69879518 26.30120482] ; [13.30120482 10.69879518],0
p11,1,0.883359,0.021525,[26 33] ; [11 13],[26.30120482 32.69879518] ; [10.69879518 13.30120482],0
n6,1,0.893067,0.01807,[28 31] ; [11 13],[27.72289157 31.27710843] ; [11.27710843 12.72289157],0
u3,1,0.893314,0.017986,[14 11] ; [7 5],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
r3,1,0.897323,0.016652,[51  8] ; [21  3],[51.18072289  7.81927711] ; [20.81927711  3.18072289],0
u2,1,0.909285,0.012982,[13 12] ; [6 6],[12.83783784 12.16216216] ; [6.16216216 5.83783784],0
r4,1,0.920645,0.009924,[40 19] ; [16  8],[39.80722892 19.19277108] ; [16.19277108  7.80722892],0
d1,1,0.952898,0.003489,[25 34] ; [10 14],[24.87951807 34.12048193] ; [10.12048193 13.87951807],0
d5,1,0.974337,0.001035,[42 17] ; [17  7],[41.93975904 17.06024096] ; [17.06024096  6.93975904],0
p6,1,0.982343,0.00049,[12 45] ; [ 5 19],[11.96296296 45.03703704] ; [ 5.03703704 18.96296296],0
r2,1,0.988349,0.000213,[46 12] ; [19  5],[45.97560976 12.02439024] ; [19.02439024  4.97560976],0
b5,1,0.995329,3.4e-05,[32 27] ; [13 11],[31.98795181 27.01204819] ; [13.01204819 10.98795181],0
