Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,29.204661,[62 13] ; [ 7 20],[50.73529412 24.26470588] ; [18.26470588  8.73529412],1
b5,1,0.32626,0.963685,[39 36] ; [17 10],[41.17647059 33.82352941] ; [14.82352941 12.17647059],0
p12,1,0.350818,0.870496,[ 7 68] ; [ 1 26],[ 5.88235294 69.11764706] ; [ 2.11764706 24.88235294],0
r1,1,0.383507,0.75943,[59 16] ; [19  8],[57.35294118 17.64705882] ; [20.64705882  6.35294118],0
d1,1,0.396333,0.719424,[43 32] ; [18  9],[44.85294118 30.14705882] ; [16.14705882 10.85294118],0
d5,1,0.402518,0.70079,[61 14] ; [23  3],[62.37623762 12.62376238] ; [21.62376238  4.37623762],0
s3,1,0.424439,0.637992,[56 19] ; [18  9],[54.41176471 20.58823529] ; [19.58823529  7.41176471],0
b3,1,0.451926,0.565817,[ 8 34] ; [ 5 13],[ 9.1 32.9] ; [ 3.9 14.1],0
b2,1,0.451926,0.565817,[ 8 34] ; [ 5 13],[ 9.1 32.9] ; [ 3.9 14.1],0
s2,1,0.459448,0.547238,[53 22] ; [17 10],[51.47058824 23.52941176] ; [18.52941176  8.47058824],0
v4,1,0.481944,0.49446,[72  3] ; [25  2],[71.32352941  3.67647059] ; [25.67647059  1.32352941],0
n2,1,0.481991,0.494355,[15  2] ; [7 2],[14.38461538  2.61538462] ; [7.61538462 1.38461538],0
v3,1,0.518297,0.417281,[23 50] ; [10 16],[24.33333333 48.66666667] ; [ 8.66666667 17.33333333],0
p1,1,0.566198,0.329086,[ 8 67] ; [ 4 23],[ 8.82352941 66.17647059] ; [ 3.17647059 23.82352941],0
p10,1,0.566198,0.329086,[67  8] ; [23  4],[66.17647059  8.82352941] ; [23.82352941  3.17647059],0
n3,1,0.660343,0.193108,[14  3] ; [8 1],[14.38461538  2.61538462] ; [7.61538462 1.38461538],0
s6,1,0.715519,0.132826,[62 10] ; [24  3],[62.54545455  9.45454545] ; [23.45454545  3.54545455],0
p3,1,0.728142,0.120824,[50 25] ; [17 10],[49.26470588 25.73529412] ; [17.73529412  9.26470588],0
s7,1,0.746705,0.10432,[48 25] ; [18  8],[48.66666667 24.33333333] ; [17.33333333  8.66666667],0
a2,1,0.756426,0.09621,[16 59] ; [ 5 22],[15.44117647 59.55882353] ; [ 5.55882353 21.44117647],0
r2,1,0.762237,0.091533,[68  7] ; [25  2],[68.38235294  6.61764706] ; [24.61764706  2.38235294],0
v2,1,0.771999,0.083962,[36 38] ; [13 12],[36.62626263 37.37373737] ; [12.37373737 12.62626263],0
s5,1,0.77231,0.083726,[40 30] ; [14 12],[39.375 30.625] ; [14.625 11.375],0
a7,1,0.804233,0.061441,[47 28] ; [17  9],[47.52475248 27.47524752] ; [16.47524752  9.52475248],0
r4,1,0.84788,0.036797,[65 10] ; [23  4],[64.70588235 10.29411765] ; [23.29411765  3.70588235],0
a4,1,0.862041,0.030198,[32 43] ; [11 16],[31.61764706 43.38235294] ; [11.38235294 15.61764706],0
b1,1,0.862041,0.030198,[32 43] ; [11 16],[31.61764706 43.38235294] ; [11.38235294 15.61764706],0
p6,1,0.87293,0.02558,[43 32] ; [15 12],[42.64705882 32.35294118] ; [15.35294118 11.64705882],0
a3,1,0.898948,0.016126,[51 24] ; [18  9],[50.73529412 24.26470588] ; [18.26470588  8.73529412],0
a5,1,0.919978,0.010092,[52 23] ; [19  8],[52.20588235 22.79411765] ; [18.79411765  8.20588235],0
n1,1,0.92036,0.009996,[ 6 11] ; [3 6],[ 5.88461538 11.11538462] ; [3.11538462 5.88461538],0
a6,1,0.978216,0.000746,[47 28] ; [17 10],[47.05882353 27.94117647] ; [16.94117647 10.05882353],0
u1,1,0.986473,0.000287,[14 61] ; [ 5 22],[13.97058824 61.02941176] ; [ 5.02941176 21.97058824],0
