Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000497,12.126359,[ 6 21] ; [17  7],[12.17647059 14.82352941] ; [10.82352941 13.17647059],1
r1,1,0.748903,0.102455,[18  9] ; [17  7],[18.52941176  8.47058824] ; [16.47058824  7.52941176],0
a7,1,0.75596,0.096591,[18  9] ; [15  9],[17.47058824  9.52941176] ; [15.52941176  8.47058824],0
p1,1,0.810501,0.057495,[ 4 23] ; [ 3 21],[ 3.70588235 23.29411765] ; [ 3.29411765 20.70588235],0
p5,1,0.902294,0.015071,[ 2 25] ; [ 2 22],[ 2.11764706 24.88235294] ; [ 1.88235294 22.11764706],0
s2,1,0.920746,0.009899,[12 15] ; [11 13],[12.17647059 14.82352941] ; [10.82352941 13.17647059],0
p3,1,0.920746,0.009899,[12 15] ; [11 13],[12.17647059 14.82352941] ; [10.82352941 13.17647059],0
p2,1,0.939631,0.005735,[20  7] ; [18  6],[20.11764706  6.88235294] ; [17.88235294  6.11764706],0
v2,1,0.981875,0.000516,[13 14] ; [11 12],[12.96 14.04] ; [11.04 11.96],0
n3,1,1.0,0.0,[8 2] ; [8 2],[8. 2.] ; [8. 2.],0
n2,1,1.0,0.0,[8 2] ; [8 2],[8. 2.] ; [8. 2.],0
