Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00083,11.172183,[59  7] ; [216  96],[48.01587302 17.98412698] ; [226.98412698  85.01587302],1
s7,1,0.130981,2.280843,[45 21] ; [172 124],[39.56353591 26.43646409] ; [177.43646409 118.56353591],0
d3,1,0.136584,2.216029,[53 15] ; [219  99],[47.91709845 20.08290155] ; [224.08290155  93.91709845],0
p8,1,0.239053,1.386168,[51 17] ; [214 102],[46.92708333 21.07291667] ; [218.07291667  97.92708333],0
d2,1,0.253049,1.306391,[41 27] ; [167 150],[36.73766234 31.26233766] ; [171.26233766 145.73766234],0
n3,1,0.256864,1.285583,[8 4] ; [36  8],[9.42857143 2.57142857] ; [34.57142857  9.42857143],0
v4,1,0.275552,1.1889,[64  4] ; [307  10],[65.52727273  2.47272727] ; [305.47272727  11.52727273],0
u1,1,0.292105,1.109892,[19 49] ; [ 70 248],[15.67875648 52.32124352] ; [ 73.32124352 244.67875648],0
b1,1,0.301026,1.069642,[32 36] ; [128 190],[28.1865285 39.8134715] ; [131.8134715 186.1865285],0
n4,1,0.333213,0.93637,[55 13] ; [272  46],[57.60621762 10.39378238] ; [269.39378238  48.60621762],0
p2,1,0.354146,0.858546,[59  9] ; [286  30],[61.09375  6.90625] ; [283.90625  32.09375],0
n6,1,0.396691,0.718333,[59  9] ; [286  31],[60.93506494  7.06493506] ; [284.06493506  32.93506494],0
n5,1,0.406098,0.690194,[54 14] ; [265  52],[56.34285714 11.65714286] ; [262.65714286  54.34285714],0
a6,1,0.446831,0.578679,[46 22] ; [229  88],[48.57142857 19.42857143] ; [226.42857143  90.57142857],0
v1,1,0.480713,0.497246,[40 28] ; [194 112],[42.54545455 25.45454545] ; [191.45454545 114.54545455],0
u4,1,0.52179,0.410353,[ 1 67] ; [  9 309],[ 1.76165803 66.23834197] ; [  8.23834197 309.76165803],0
s8,1,0.529645,0.395072,[39 29] ; [168 148],[36.65625 31.34375] ; [170.34375 145.65625],0
p12,1,0.544304,0.36762,[ 7 61] ; [ 41 275],[ 8.5 59.5] ; [ 39.5 276.5],0
a1,1,0.552743,0.352427,[ 3 65] ; [ 20 298],[ 4.05181347 63.94818653] ; [ 18.94818653 299.05181347],0
n2,1,0.563386,0.333875,[8 4] ; [33 11],[8.78571429 3.21428571] ; [32.21428571 11.78571429],0
p4,1,0.563704,0.333332,[58 10] ; [262  56],[56.37305699 11.62694301] ; [263.62694301  54.37305699],0
p5,1,0.580583,0.305293,[11 57] ; [ 60 255],[12.60574413 55.39425587] ; [ 58.39425587 256.60574413],0
a4,1,0.609373,0.26109,[36 32] ; [157 160],[34.08831169 33.91168831] ; [158.91168831 158.08831169],0
n1,1,0.633856,0.226868,[4 8] ; [18 26],[4.71428571 7.28571429] ; [17.28571429 26.71428571],0
b5,1,0.726647,0.122213,[39 29] ; [175 143],[37.69948187 30.30051813] ; [176.30051813 141.69948187],0
p1,1,0.727694,0.121239,[ 8 60] ; [ 42 273],[ 8.8772846 59.1227154] ; [ 41.1227154 273.8772846],0
r3,1,0.790486,0.070585,[64  3] ; [305  12],[64.3828125  2.6171875] ; [304.6171875  12.3828125],0
a3,1,0.804774,0.061095,[52 16] ; [246  70],[52.77083333 15.22916667] ; [245.22916667  70.77083333],0
b4,1,0.809655,0.058019,[40 28] ; [182 136],[39.10880829 28.89119171] ; [182.89119171 135.10880829],0
p9,1,0.829853,0.046178,[66  2] ; [307  11],[65.70984456  2.29015544] ; [307.29015544  10.70984456],0
d4,1,0.875948,0.02437,[58 10] ; [268  49],[57.57922078 10.42077922] ; [268.42077922  48.57922078],0
r1,1,0.911831,0.012261,[56 12] ; [262  54],[56.3125 11.6875] ; [261.6875  54.3125],0
d5,1,0.913108,0.011907,[58 10] ; [272  45],[58.28571429  9.71428571] ; [271.71428571  45.28571429],0
u3,1,0.917801,0.010651,[10  6] ; [44 28],[9.81818182 6.18181818] ; [44.18181818 27.81818182],0
a2,1,0.952176,0.003597,[19 49] ; [ 90 228],[19.20207254 48.79792746] ; [ 89.79792746 228.20207254],0
a5,1,0.961932,0.002278,[55 13] ; [258  60],[55.13989637 12.86010363] ; [257.86010363  60.13989637],0
