Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7e-06,20.091083,[23 77] ; [18  8],[32.53968254 67.46031746] ; [ 8.46031746 17.53968254],1
s1,1,0.217557,1.520415,[ 7 94] ; [ 4 24],[ 8.6124031 92.3875969] ; [ 2.3875969 25.6124031],0
u1,1,0.240637,1.376859,[21 82] ; [ 3 25],[18.87022901 84.12977099] ; [ 5.12977099 22.87022901],0
b2,1,0.246465,1.343234,[32 43] ; [ 5 13],[29.83870968 45.16129032] ; [ 7.16129032 10.83870968],0
b3,1,0.246465,1.343234,[32 43] ; [ 5 13],[29.83870968 45.16129032] ; [ 7.16129032 10.83870968],0
n2,1,0.253943,1.301478,[26 11] ; [8 1],[27.34782609  9.65217391] ; [6.65217391 2.34782609],0
u3,1,0.290607,1.116809,[16 20] ; [8 5],[17.63265306 18.36734694] ; [6.36734694 6.63265306],0
d2,1,0.299119,1.078119,[52 48] ; [11 16],[49.60629921 50.39370079] ; [13.39370079 13.60629921],0
d3,1,0.319645,0.990398,[60 42] ; [13 14],[57.72093023 44.27906977] ; [15.27906977 11.72093023],0
a3,1,0.330722,0.946068,[67 35] ; [15 12],[64.8372093 37.1627907] ; [17.1627907  9.8372093],0
b4,1,0.332463,0.939279,[62 41] ; [14 14],[59.75572519 43.24427481] ; [16.24427481 11.75572519],0
b1,1,0.369139,0.80656,[54 49] ; [12 16],[51.89312977 51.10687023] ; [14.10687023 13.89312977],0
p1,1,0.383943,0.758037,[ 9 94] ; [ 4 24],[10.22137405 92.77862595] ; [ 2.77862595 25.22137405],0
r4,1,0.418484,0.65457,[73 30] ; [22  6],[74.69465649 28.30534351] ; [20.30534351  7.69465649],0
n1,1,0.453255,0.5625,[19 17] ; [6 3],[20. 16.] ; [5. 4.],0
n5,1,0.466207,0.530952,[82 21] ; [24  4],[83.34351145 19.65648855] ; [22.65648855  5.34351145],0
s6,1,0.469574,0.522977,[53 50] ; [16 11],[54.66923077 48.33076923] ; [14.33076923 12.66923077],0
s2,1,0.622348,0.242581,[40 62] ; [12 15],[41.11627907 60.88372093] ; [10.88372093 16.11627907],0
s4,1,0.659791,0.193778,[18 83] ; [ 4 24],[17.2248062 83.7751938] ; [ 4.7751938 23.2248062],0
a4,1,0.685179,0.164354,[46 56] ; [11 16],[45.06976744 56.93023256] ; [11.93023256 15.06976744],0
s3,1,0.699594,0.148894,[47 54] ; [11 15],[46.12598425 54.87401575] ; [11.87401575 14.12598425],0
a6,1,0.706535,0.141763,[64 38] ; [18  9],[64.8372093 37.1627907] ; [17.1627907  9.8372093],0
a2,1,0.765879,0.088666,[21 82] ; [ 5 23],[20.44274809 82.55725191] ; [ 5.55725191 22.44274809],0
a8,1,0.767548,0.08737,[14 84] ; [ 3 22],[13.54471545 84.45528455] ; [ 3.45528455 21.54471545],0
r1,1,0.799231,0.06469,[71 32] ; [20  8],[71.54961832 31.45038168] ; [19.45038168  8.54961832],0
a5,1,0.855136,0.033332,[68 35] ; [19  9],[68.40458015 34.59541985] ; [18.59541985  9.40458015],0
v3,1,0.894095,0.017722,[36 59] ; [11 17],[36.30081301 58.69918699] ; [10.69918699 17.30081301],0
a7,1,0.9086,0.01318,[65 38] ; [18 10],[65.25954198 37.74045802] ; [17.74045802 10.25954198],0
n3,1,0.912609,0.012045,[22 12] ; [6 3],[22.13953488 11.86046512] ; [5.86046512 3.13953488],0
r3,1,0.918848,0.010381,[80 23] ; [22  6],[80.19847328 22.80152672] ; [21.80152672  6.19847328],0
s8,1,0.937086,0.00623,[39 64] ; [10 17],[38.82307692 64.17692308] ; [10.17692308 16.82307692],0
u4,1,0.939085,0.00584,[ 4 99] ; [ 1 27],[ 3.93129771 99.06870229] ; [ 1.06870229 26.93129771],0
d1,1,0.986989,0.000266,[55 48] ; [15 13],[55.03816794 47.96183206] ; [14.96183206 13.03816794],0
s7,1,0.994354,5e-05,[40 58] ; [11 16],[39.984 58.016] ; [11.016 15.984],0
