Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000532,12.0,[14  2] ; [18 30],[8. 8.] ; [24. 24.],1
u3,1,0.383988,0.757895,[3 2] ; [15  4],[3.75 1.25] ; [14.25  4.75],0
p8,1,0.423864,0.639577,[10  6] ; [25 24],[8.61538462 7.38461538] ; [26.38461538 22.61538462],0
p2,1,0.43752,0.602779,[12  4] ; [41  8],[13.04615385  2.95384615] ; [39.95384615  9.04615385],0
p1,1,0.449653,0.571528,[ 3 12] ; [ 6 43],[ 2.109375 12.890625] ; [ 6.890625 42.109375],0
n1,1,0.482016,0.494298,[2 2] ; [ 6 13],[1.39130435 2.60869565] ; [ 6.60869565 12.39130435],0
s7,1,0.500617,0.453629,[8 6] ; [23 26],[6.88888889 7.11111111] ; [24.11111111 24.88888889],0
s3,1,0.509609,0.434871,[ 6 10] ; [23 26],[7.13846154 8.86153846] ; [21.86153846 27.13846154],0
s2,1,0.517743,0.418388,[7 9] ; [26 23],[8.12307692 7.87692308] ; [24.87692308 24.12307692],0
a5,1,0.564699,0.331633,[12  4] ; [33 16],[11.07692308  4.92307692] ; [33.92307692 15.07692308],0
a3,1,0.588116,0.293296,[11  5] ; [30 19],[10.09230769  5.90769231] ; [30.90769231 18.09230769],0
a2,1,0.593181,0.285403,[ 5 11] ; [12 37],[ 4.18461538 11.81538462] ; [12.81538462 36.18461538],0
s5,1,0.602793,0.270804,[7 9] ; [16 28],[6.13333333 9.86666667] ; [16.86666667 27.13333333],0
p4,1,0.608992,0.261645,[10  6] ; [34 15],[10.83076923  5.16923077] ; [33.16923077 15.83076923],0
r4,1,0.635204,0.22507,[15  1] ; [44  5],[14.52307692  1.47692308] ; [44.47692308  4.52307692],0
p11,1,0.714155,0.134162,[11  5] ; [36 13],[11.56923077  4.43076923] ; [35.43076923 13.56923077],0
a4,1,0.716133,0.132228,[7 9] ; [24 25],[7.63076923 8.36923077] ; [23.36923077 25.63076923],0
d5,1,0.726978,0.121905,[13  3] ; [37 11],[12.5  3.5] ; [37.5 10.5],0
a8,1,0.75697,0.095767,[ 1 15] ; [ 4 42],[ 1.29032258 14.70967742] ; [ 3.70967742 42.29032258],0
p10,1,0.781637,0.076832,[12  4] ; [35 14],[11.56923077  4.43076923] ; [35.43076923 13.56923077],0
p7,1,0.812524,0.05625,[12  3] ; [37 11],[11.66666667  3.33333333] ; [37.33333333 10.66666667],0
p3,1,0.814131,0.055272,[10  6] ; [29 20],[9.6 6.4] ; [29.4 19.6],0
u1,1,0.822391,0.050387,[ 3 13] ; [ 8 41],[ 2.70769231 13.29230769] ; [ 8.29230769 40.70769231],0
d4,1,0.822391,0.050387,[13  3] ; [41  8],[13.29230769  2.70769231] ; [40.70769231  8.29230769],0
s4,1,0.837937,0.041834,[ 5 11] ; [14 35],[ 4.67692308 11.32307692] ; [14.32307692 34.67692308],0
p9,1,0.903724,0.014631,[12  4] ; [36 13],[11.81538462  4.18461538] ; [36.18461538 12.81538462],0
d2,1,0.943489,0.005025,[8 8] ; [25 24],[8.12307692 7.87692308] ; [24.87692308 24.12307692],0
n3,1,0.956561,0.002967,[3 1] ; [14  5],[2.95652174 1.04347826] ; [14.04347826  4.95652174],0
a1,1,0.985293,0.00034,[ 1 15] ; [ 3 46],[ 0.98461538 15.01538462] ; [ 3.01538462 45.98461538],0
s1,1,0.985293,0.00034,[ 1 15] ; [ 3 46],[ 0.98461538 15.01538462] ; [ 3.01538462 45.98461538],0
a7,1,1.0,0.0,[12  4] ; [36 12],[12.  4.] ; [36. 12.],0
r2,1,1.0,0.0,[15  1] ; [45  3],[15.  1.] ; [45.  3.],0
