Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.4e-05,17.185112,[22 12] ; [ 7 33],[13.32432432 20.67567568] ; [15.67567568 24.32432432],1
s3,1,0.294679,1.098121,[19 15] ; [17 22],[16.76712329 17.23287671] ; [19.23287671 19.76712329],0
r3,1,0.301651,1.066879,[22 11] ; [31  9],[23.95890411  9.04109589] ; [29.04109589 10.95890411],0
v2,1,0.30507,1.0519,[12 19] ; [10 27],[10.02941176 20.97058824] ; [11.97058824 25.02941176],0
p10,1,0.370344,0.802508,[19 13] ; [19 20],[17.12676056 14.87323944] ; [20.87323944 18.12676056],0
r4,1,0.388437,0.743829,[17 17] ; [24 16],[18.83783784 15.16216216] ; [22.16216216 17.83783784],0
p6,1,0.422361,0.643736,[11 21] ; [10 29],[ 9.46478873 22.53521127] ; [11.53521127 27.46478873],0
p9,1,0.429231,0.624904,[21 11] ; [22 17],[19.38028169 12.61971831] ; [23.61971831 15.38028169],0
n2,1,0.438578,0.6,[11  4] ; [9 6],[10.  5.] ; [10.  5.],0
p3,1,0.44384,0.586334,[ 6 28] ; [10 30],[ 7.35135135 26.64864865] ; [ 8.64864865 31.35135135],0
d2,1,0.44384,0.586334,[ 6 28] ; [10 30],[ 7.35135135 26.64864865] ; [ 8.64864865 31.35135135],0
u1,1,0.462208,0.540541,[ 2 32] ; [ 1 39],[ 1.37837838 32.62162162] ; [ 1.62162162 38.37837838],0
p2,1,0.463489,0.537455,[24 10] ; [25 15],[22.51351351 11.48648649] ; [26.48648649 13.51351351],0
a6,1,0.472162,0.516912,[19 15] ; [19 21],[17.45945946 16.54054054] ; [20.54054054 19.45945946],0
b2,1,0.523543,0.406909,[ 6 13] ; [ 5 17],[ 5.09756098 13.90243902] ; [ 5.90243902 16.09756098],0
b3,1,0.523543,0.406909,[ 6 13] ; [ 5 17],[ 5.09756098 13.90243902] ; [ 5.90243902 16.09756098],0
a4,1,0.537082,0.380975,[ 5 29] ; [ 4 36],[ 4.13513514 29.86486486] ; [ 4.86486486 35.13513514],0
r1,1,0.541314,0.373109,[18 16] ; [24 16],[19.2972973 14.7027027] ; [22.7027027 17.2972973],0
b4,1,0.541314,0.373109,[18 16] ; [24 16],[19.2972973 14.7027027] ; [22.7027027 17.2972973],0
v4,1,0.61209,0.257143,[24  8] ; [32  8],[24.88888889  7.11111111] ; [31.11111111  8.88888889],0
s5,1,0.674126,0.176813,[ 6 28] ; [ 8 29],[ 6.70422535 27.29577465] ; [ 7.29577465 29.70422535],0
s7,1,0.699814,0.148666,[10 22] ; [10 27],[ 9.27536232 22.72463768] ; [10.72463768 26.27536232],0
v1,1,0.750483,0.101126,[12 21] ; [16 24],[12.65753425 20.34246575] ; [15.34246575 24.65753425],0
s2,1,0.773257,0.083011,[13 21] ; [14 26],[12.40540541 21.59459459] ; [14.59459459 25.40540541],0
b1,1,0.800833,0.063639,[18 16] ; [20 20],[17.45945946 16.54054054] ; [20.54054054 19.45945946],0
p4,1,0.855747,0.033048,[10 24] ; [11 29],[ 9.64864865 24.35135135] ; [11.35135135 28.64864865],0
a1,1,0.867148,0.027983,[ 2 32] ; [ 2 38],[ 1.83783784 32.16216216] ; [ 2.16216216 37.83783784],0
s4,1,0.88525,0.020827,[ 9 25] ; [10 30],[ 8.72972973 25.27027027] ; [10.27027027 29.72972973],0
r2,1,0.894683,0.017525,[26  7] ; [31  9],[25.76712329  7.23287671] ; [31.23287671  8.76712329],0
d3,1,0.89746,0.016608,[17 16] ; [20 20],[16.7260274 16.2739726] ; [20.2739726 19.7260274],0
a3,1,0.948177,0.004225,[13 21] ; [15 25],[12.86486486 21.13513514] ; [15.13513514 24.86486486],0
n1,1,1.0,0.0,[6 9] ; [6 9],[6. 9.] ; [6. 9.],0
