Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,76.773913,[76 33] ; [ 44 174],[40. 69.] ; [ 80. 138.],1
b5,1,0.400663,0.706335,[64 50] ; [140  90],[67.60465116 46.39534884] ; [136.39534884  93.60465116],0
a1,1,0.425552,0.634931,[  5 109] ; [ 15 215],[  6.62790698 107.37209302] ; [ 13.37209302 216.62790698],0
s1,1,0.430763,0.620766,[  5 107] ; [ 15 212],[  6.60766962 105.39233038] ; [ 13.39233038 213.60766962],0
n3,1,0.561306,0.337448,[16 13] ; [40 25],[17.27659574 11.72340426] ; [38.72340426 26.27659574],0
p1,1,0.586093,0.296487,[  9 105] ; [ 22 205],[ 10.36363636 103.63636364] ; [ 20.63636364 206.36363636],0
a6,1,0.6161,0.251387,[68 46] ; [143  86],[70.12827988 43.87172012] ; [140.87172012  88.12827988],0
b1,1,0.650793,0.204901,[53 61] ; [101 129],[51.03488372 62.96511628] ; [102.96511628 127.03488372],0
b4,1,0.824768,0.049025,[63 51] ; [130 100],[63.95930233 50.04069767] ; [129.04069767 100.95930233],0
n2,1,0.882633,0.021795,[19 11] ; [42 26],[18.67346939 11.32653061] ; [42.32653061 25.67346939],0
a7,1,0.891979,0.018442,[74 40] ; [151  79],[74.56395349 39.43604651] ; [150.43604651  79.56395349],0
