Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,178.026358,[693  45] ; [137  97],[630.18518519 107.81481481] ; [199.81481481  34.18518519],1
s6,1,0.000454,12.294543,[496 228] ; [134 105],[473.64485981 250.35514019] ; [156.35514019  82.64485981],1
r2,1,0.001067,10.708317,[689  42] ; [211  29],[677.54891864  53.45108136] ; [222.45108136  17.54891864],0
p12,1,0.001153,10.563778,[ 64 673] ; [  6 236],[ 52.69662921 684.30337079] ; [ 17.30337079 224.69662921],0
p6,1,0.001721,9.825451,[275 456] ; [ 63 175],[254.98245614 476.01754386] ; [ 83.01754386 154.98245614],0
s1,1,0.002593,9.073738,[ 22 710] ; [ 18 224],[ 30.06160164 701.93839836] ; [  9.93839836 232.06160164],0
a6,1,0.004498,8.070991,[503 235] ; [142 102],[484.73523422 253.26476578] ; [160.26476578  83.73523422],0
s7,1,0.004627,8.019571,[359 348] ; [ 89 134],[340.57634409 366.42365591] ; [107.42365591 115.57634409],0
d4,1,0.010566,6.536851,[608 130] ; [182  61],[594.31192661 143.68807339] ; [195.68807339  47.31192661],0
d1,1,0.011235,6.427761,[437 303] ; [122 123],[419.95939086 320.04060914] ; [139.04060914 105.95939086],0
u2,1,0.012121,6.29308,[124  84] ; [38 49],[114.22372881  93.77627119] ; [47.77627119 39.22372881],0
p5,1,0.01329,6.130123,[ 91 644] ; [ 16 225],[ 80.57889344 654.42110656] ; [ 26.42110656 214.57889344],0
d5,1,0.017437,5.651799,[601 136] ; [181  62],[588.09591837 148.90408163] ; [193.90408163  49.09591837],0
s2,1,0.021991,5.246502,[387 347] ; [108 136],[371.50306748 362.49693252] ; [123.49693252 120.50306748],0
s3,1,0.027034,4.888624,[412 317] ; [117 125],[397.15859938 331.84140062] ; [131.84140062 110.15859938],0
a3,1,0.027425,4.863882,[530 208] ; [155  86],[516.37385087 221.62614913] ; [168.62614913  72.37385087],0
n2,1,0.029467,4.740134,[119  37] ; [63 36],[111.34117647  44.65882353] ; [70.65882353 28.34117647],0
v3,1,0.030188,4.698526,[287 431] ; [ 75 159],[273.0210084 444.9789916] ; [ 88.9789916 145.0210084],0
s5,1,0.045903,3.985159,[258 455] ; [ 67 164],[245.47139831 467.52860169] ; [ 79.52860169 151.47139831],0
n3,1,0.065086,3.402784,[114  41] ; [60 36],[107.4501992  47.5498008] ; [66.5498008 29.4501992],0
a7,1,0.074203,3.18751,[539 199] ; [163  80],[528.11009174 209.88990826] ; [173.88990826  69.11009174],0
a1,1,0.102805,2.66148,[ 32 708] ; [ 17 228],[ 36.81218274 703.18781726] ; [ 12.18781726 232.81218274],0
d3,1,0.107978,2.583567,[510 227] ; [154  88],[499.86516854 237.13483146] ; [164.13483146  77.86516854],0
u3,1,0.12114,2.402517,[122  86] ; [43 45],[115.94594595  92.05405405] ; [49.05405405 38.94594595],0
b5,1,0.27564,1.188463,[436 304] ; [154  91],[443.24873096 296.75126904] ; [146.75126904  98.24873096],0
s4,1,0.292372,1.108666,[131 602] ; [ 51 193],[136.54657114 596.45342886] ; [ 45.45342886 198.54657114],0
b2,1,0.306149,1.047218,[162 273] ; [41 86],[157.12633452 277.87366548] ; [45.87366548 81.12633452],0
b3,1,0.306149,1.047218,[162 273] ; [41 86],[157.12633452 277.87366548] ; [45.87366548 81.12633452],0
a8,1,0.309465,1.032959,[ 88 592] ; [ 23 199],[ 83.68070953 596.31929047] ; [ 27.31929047 194.68070953],0
b4,1,0.368469,0.80882,[432 308] ; [135 110],[425.96954315 314.03045685] ; [141.03045685 103.96954315],0
u1,1,0.453093,0.562902,[127 613] ; [ 37 208],[123.20812183 616.79187817] ; [ 40.79187817 204.20812183],0
n1,1,0.585146,0.297989,[57 98] ; [39 58],[59.04761905 95.95238095] ; [36.95238095 60.04761905],0
d2,1,0.609224,0.261307,[347 390] ; [119 124],[350.45102041 386.54897959] ; [115.54897959 127.45102041],0
a4,1,0.691198,0.157791,[324 415] ; [103 140],[321.33706721 417.66293279] ; [105.66293279 137.33706721],0
p1,1,0.818491,0.052664,[ 67 670] ; [ 21 223],[ 66.11213048 670.88786952] ; [ 21.88786952 222.11213048],0
a2,1,0.863981,0.029347,[167 573] ; [ 54 191],[166.03045685 573.96954315] ; [ 54.96954315 190.03045685],0
