Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.122628,2.38343,[78 39] ; [142 102],[71.30193906 45.69806094] ; [148.69806094  95.30193906],0
v4,1,0.514721,0.424458,[100  16] ; [203  40],[97.90529248 18.09470752] ; [205.09470752  37.90529248],0
s5,1,0.524772,0.404505,[28 81] ; [ 67 164],[30.45588235 78.54411765] ; [ 64.54411765 166.45588235],0
r1,1,0.538737,0.377885,[82 32] ; [167  76],[79.51260504 34.48739496] ; [169.48739496  73.51260504],0
n2,1,0.539443,0.376573,[31 14] ; [63 36],[29.375 15.625] ; [64.625 34.375],0
p1,1,0.56276,0.334949,[  8 109] ; [ 21 223],[  9.39889197 107.60110803] ; [ 19.60110803 224.39889197],0
n6,1,0.564934,0.331233,[78 37] ; [156  85],[75.58988764 39.41011236] ; [158.41011236  82.58988764],0
b3,1,0.599953,0.275067,[21 37] ; [41 86],[19.43783784 38.56216216] ; [42.56216216 84.43783784],0
b2,1,0.599953,0.275067,[21 37] ; [41 86],[19.43783784 38.56216216] ; [42.56216216 84.43783784],0
p12,1,0.650952,0.204703,[  2 114] ; [  6 236],[  2.59217877 113.40782123] ; [  5.40782123 236.59217877],0
d4,1,0.67526,0.175511,[90 27] ; [182  61],[88.4 28.6] ; [183.6  59.4],0
a2,1,0.687707,0.161578,[28 89] ; [ 54 191],[26.50276243 90.49723757] ; [ 55.49723757 189.50276243],0
p5,1,0.697837,0.150731,[  9 107] ; [ 16 225],[  8.1232493 107.8767507] ; [ 16.8767507 224.1232493],0
s6,1,0.702621,0.14576,[62 53] ; [134 105],[63.67231638 51.32768362] ; [132.32768362 106.67231638],0
a5,1,0.704398,0.143937,[75 42] ; [152  93],[73.36740331 43.63259669] ; [153.63259669  91.36740331],0
b4,1,0.706098,0.142206,[62 55] ; [135 110],[63.67127072 53.32872928] ; [133.32872928 111.67127072],0
n4,1,0.707189,0.141101,[68 46] ; [150  93],[69.61344538 44.38655462] ; [148.38655462  94.61344538],0
p2,1,0.723759,0.124919,[74 43] ; [149  94],[72.475 44.525] ; [150.525  92.475],0
a4,1,0.736948,0.112827,[47 69] ; [103 140],[48.46796657 67.53203343] ; [101.53203343 141.46796657],0
n5,1,0.765855,0.088686,[67 48] ; [145  97],[68.29131653 46.70868347] ; [143.70868347  98.29131653],0
v3,1,0.769824,0.085618,[37 73] ; [ 75 159],[35.81395349 74.18604651] ; [ 76.18604651 157.81395349],0
a3,1,0.786532,0.073342,[71 42] ; [155  86],[72.14124294 40.85875706] ; [153.85875706  87.14124294],0
b5,1,0.818184,0.052845,[75 42] ; [154  91],[74.01381215 42.98618785] ; [154.98618785  90.01381215],0
n3,1,0.819403,0.052127,[26 17] ; [60 36],[26.60431655 16.39568345] ; [59.39568345 36.60431655],0
s3,1,0.829637,0.046297,[57 58] ; [117 125],[56.05042017 58.94957983] ; [117.94957983 124.05042017],0
p4,1,0.852416,0.034609,[47 68] ; [101 140],[47.80898876 67.19101124] ; [100.19101124 140.80898876],0
v1,1,0.857698,0.03215,[48 67] ; [ 99 144],[47.22067039 67.77932961] ; [ 99.77932961 143.22067039],0
d5,1,0.88165,0.022164,[88 29] ; [181  62],[87.425 29.575] ; [181.575  61.425],0
p6,1,0.88601,0.020551,[31 83] ; [ 63 175],[30.44318182 83.55681818] ; [ 63.55681818 174.44318182],0
s1,1,0.896893,0.016793,[  9 106] ; [ 18 224],[  8.69747899 106.30252101] ; [ 18.30252101 223.69747899],0
s2,1,0.904108,0.014514,[51 66] ; [108 136],[51.53185596 65.46814404] ; [107.46814404 136.53185596],0
a8,1,0.907934,0.013374,[11 91] ; [ 23 199],[10.7037037 91.2962963] ; [ 23.2962963 198.7037037],0
s4,1,0.919057,0.010327,[25 92] ; [ 51 193],[24.63157895 92.36842105] ; [ 51.36842105 192.63157895],0
s8,1,0.922547,0.009453,[36 81] ; [ 76 167],[36.4 80.6] ; [ 75.6 167.4],0
p7,1,0.975471,0.000945,[51 62] ; [107 131],[50.86609687 62.13390313] ; [107.13390313 130.86609687],0
