Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.122628,2.38343,[142 102] ; [78 39],[148.69806094  95.30193906] ; [71.30193906 45.69806094],0
s5,1,0.524772,0.404505,[ 67 164] ; [28 81],[ 64.54411765 166.45588235] ; [30.45588235 78.54411765],0
r1,1,0.538737,0.377885,[167  76] ; [82 32],[169.48739496  73.51260504] ; [79.51260504 34.48739496],0
n2,1,0.539443,0.376573,[63 36] ; [31 14],[64.625 34.375] ; [29.375 15.625],0
p1,1,0.56276,0.334949,[ 21 223] ; [  8 109],[ 19.60110803 224.39889197] ; [  9.39889197 107.60110803],0
n6,1,0.564934,0.331233,[156  85] ; [78 37],[158.41011236  82.58988764] ; [75.58988764 39.41011236],0
b3,1,0.599953,0.275067,[41 86] ; [21 37],[42.56216216 84.43783784] ; [19.43783784 38.56216216],0
b2,1,0.599953,0.275067,[41 86] ; [21 37],[42.56216216 84.43783784] ; [19.43783784 38.56216216],0
p12,1,0.650952,0.204703,[  6 236] ; [  2 114],[  5.40782123 236.59217877] ; [  2.59217877 113.40782123],0
d4,1,0.67526,0.175511,[182  61] ; [90 27],[183.6  59.4] ; [88.4 28.6],0
a2,1,0.687707,0.161578,[ 54 191] ; [28 89],[ 55.49723757 189.50276243] ; [26.50276243 90.49723757],0
p5,1,0.697837,0.150731,[ 16 225] ; [  9 107],[ 16.8767507 224.1232493] ; [  8.1232493 107.8767507],0
s6,1,0.702621,0.14576,[134 105] ; [62 53],[132.32768362 106.67231638] ; [63.67231638 51.32768362],0
a5,1,0.704398,0.143937,[152  93] ; [75 42],[153.63259669  91.36740331] ; [73.36740331 43.63259669],0
b4,1,0.706098,0.142206,[135 110] ; [62 55],[133.32872928 111.67127072] ; [63.67127072 53.32872928],0
n4,1,0.707189,0.141101,[150  93] ; [68 46],[148.38655462  94.61344538] ; [69.61344538 44.38655462],0
p2,1,0.723759,0.124919,[149  94] ; [74 43],[150.525  92.475] ; [72.475 44.525],0
a4,1,0.736948,0.112827,[103 140] ; [47 69],[101.53203343 141.46796657] ; [48.46796657 67.53203343],0
n5,1,0.765855,0.088686,[145  97] ; [67 48],[143.70868347  98.29131653] ; [68.29131653 46.70868347],0
v3,1,0.769824,0.085618,[ 75 159] ; [37 73],[ 76.18604651 157.81395349] ; [35.81395349 74.18604651],0
a3,1,0.786532,0.073342,[155  86] ; [71 42],[153.85875706  87.14124294] ; [72.14124294 40.85875706],0
b5,1,0.818184,0.052845,[154  91] ; [75 42],[154.98618785  90.01381215] ; [74.01381215 42.98618785],0
n3,1,0.819403,0.052127,[60 36] ; [26 17],[59.39568345 36.60431655] ; [26.60431655 16.39568345],0
s3,1,0.829637,0.046297,[117 125] ; [57 58],[117.94957983 124.05042017] ; [56.05042017 58.94957983],0
p4,1,0.852416,0.034609,[101 140] ; [47 68],[100.19101124 140.80898876] ; [47.80898876 67.19101124],0
v1,1,0.857698,0.03215,[ 99 144] ; [48 67],[ 99.77932961 143.22067039] ; [47.22067039 67.77932961],0
d5,1,0.88165,0.022164,[181  62] ; [88 29],[181.575  61.425] ; [87.425 29.575],0
p6,1,0.88601,0.020551,[ 63 175] ; [31 83],[ 63.55681818 174.44318182] ; [30.44318182 83.55681818],0
s1,1,0.896893,0.016793,[ 18 224] ; [  9 106],[ 18.30252101 223.69747899] ; [  8.69747899 106.30252101],0
s2,1,0.904108,0.014514,[108 136] ; [51 66],[107.46814404 136.53185596] ; [51.53185596 65.46814404],0
a8,1,0.907934,0.013374,[ 23 199] ; [11 91],[ 23.2962963 198.7037037] ; [10.7037037 91.2962963],0
s4,1,0.919057,0.010327,[ 51 193] ; [25 92],[ 51.36842105 192.63157895] ; [24.63157895 92.36842105],0
s8,1,0.922547,0.009453,[ 76 167] ; [36 81],[ 75.6 167.4] ; [36.4 80.6],0
p7,1,0.975471,0.000945,[107 131] ; [51 62],[107.13390313 130.86609687] ; [50.86609687 62.13390313],0
