Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,33.140397,[107  14] ; [137  97],[83.16619718 37.83380282] ; [160.83380282  73.16619718],1
d3,1,0.229734,1.442505,[84 36] ; [154  88],[78.89502762 41.10497238] ; [159.10497238  82.89502762],0
a7,1,0.272485,1.204195,[88 33] ; [163  80],[83.43681319 37.56318681] ; [167.56318681  75.43681319],0
s3,1,0.300229,1.073178,[66 56] ; [117 125],[61.33516484 60.66483516] ; [121.66483516 120.33516484],0
n3,1,0.310915,1.026786,[30 12] ; [60 36],[27.39130435 14.60869565] ; [62.60869565 33.39130435],0
n5,1,0.320932,0.985146,[79 42] ; [145  97],[74.66666667 46.33333333] ; [149.33333333  92.66666667],0
a3,1,0.333244,0.936252,[84 37] ; [155  86],[79.88674033 41.11325967] ; [159.11325967  81.88674033],0
n4,1,0.383087,0.760772,[81 41] ; [150  93],[77.2109589 44.7890411] ; [153.7890411  89.2109589],0
p12,1,0.394358,0.725462,[  5 117] ; [  6 236],[  3.68681319 118.31318681] ; [  7.31318681 234.68681319],0
a5,1,0.414579,0.665632,[81 41] ; [152  93],[77.45504087 44.54495913] ; [155.54495913  89.45504087],0
v3,1,0.414597,0.665579,[44 77] ; [ 75 159],[40.56056338 80.43943662] ; [ 78.43943662 155.56056338],0
d2,1,0.437491,0.602854,[65 57] ; [119 124],[61.50136986 60.49863014] ; [122.49863014 120.50136986],0
n1,1,0.443635,0.586861,[14 28] ; [39 58],[16.01438849 25.98561151] ; [36.98561151 60.01438849],0
a1,1,0.451795,0.566145,[  6 116] ; [ 17 228],[  7.64577657 114.35422343] ; [ 15.35422343 229.64577657],0
u3,1,0.498673,0.45776,[20 16] ; [43 45],[18.29032258 17.70967742] ; [44.70967742 43.29032258],0
b1,1,0.530603,0.393236,[60 62] ; [129 116],[62.82833787 59.17166213] ; [126.17166213 118.82833787],0
s4,1,0.531295,0.391914,[29 93] ; [ 51 193],[26.66666667 95.33333333] ; [ 53.33333333 190.66666667],0
s1,1,0.557719,0.343669,[  7 114] ; [ 18 224],[  8.33333333 112.66666667] ; [ 16.66666667 225.33333333],0
p3,1,0.590334,0.289823,[47 74] ; [ 87 155],[44.66666667 76.33333333] ; [ 89.33333333 152.66666667],0
u1,1,0.601473,0.27278,[ 21 101] ; [ 37 208],[ 19.28065395 102.71934605] ; [ 38.71934605 206.28065395],0
a4,1,0.623974,0.240322,[55 67] ; [103 140],[52.8109589 69.1890411] ; [105.1890411 137.8109589],0
a6,1,0.652044,0.203333,[74 48] ; [142 102],[72. 50.] ; [144. 100.],0
a8,1,0.734997,0.114573,[10 99] ; [ 23 199],[10.86706949 98.13293051] ; [ 22.13293051 199.86706949],0
p5,1,0.777308,0.079992,[  9 112] ; [ 16 225],[  8.35635359 112.64364641] ; [ 16.64364641 224.35635359],0
b4,1,0.791524,0.069872,[69 53] ; [135 110],[67.8147139 54.1852861] ; [136.1852861 108.8147139],0
b2,1,0.796333,0.066614,[17 39] ; [41 86],[17.74863388 38.25136612] ; [40.25136612 86.74863388],0
b3,1,0.796333,0.066614,[17 39] ; [41 86],[17.74863388 38.25136612] ; [40.25136612 86.74863388],0
u2,1,0.81609,0.054092,[17 20] ; [38 49],[16.41129032 20.58870968] ; [38.58870968 48.41129032],0
a2,1,0.843706,0.03887,[28 94] ; [ 54 191],[27.25885559 94.74114441] ; [ 54.74114441 190.25885559],0
p1,1,0.912121,0.01218,[ 10 111] ; [ 21 223],[ 10.27671233 110.72328767] ; [ 20.72328767 223.27671233],0
b5,1,0.916478,0.010998,[76 46] ; [154  91],[76.45776567 45.54223433] ; [153.54223433  91.45776567],0
